"Time[ms]","Channel A[V]"
6.41632796,0.51332130
6.41888796,0.51332130
6.42144796,0.51332130
6.42400796,0.51332130
6.42656796,0.51332130
6.42912796,0.51332130
6.43168796,0.51332130
6.43424796,0.51332130
6.43680796,0.51332130
6.43936796,0.51332130
6.44192796,0.51332130
6.44448796,0.68971830
6.44704796,0.51332130
6.44960796,0.68971830
6.45216796,0.51332130
6.45472796,0.51332130
6.45728796,0.51332130
6.45984796,0.68971830
6.46240796,0.51332130
6.46496796,0.51332130
6.46752796,0.68971830
6.47008796,0.68971830
6.47264796,0.68971830
6.47520796,0.51332130
6.47776796,0.68971830
6.48032796,0.68971830
6.48288796,0.68971830
6.48544796,0.68971830
6.48800796,0.68971830
6.49056796,0.68971830
6.49312796,0.68971830
6.49568796,0.68971830
6.49824796,0.51332130
6.50080796,0.51332130
6.50336796,0.68971830
6.50592796,0.68971830
6.50848796,0.68971830
6.51104796,0.68971830
6.51360796,0.51332130
6.51616796,0.68971830
6.51872796,0.51332130
6.52128796,0.68971830
6.52384796,0.68971830
6.52640796,0.68971830
6.52896796,0.51332130
6.53152796,0.68971830
6.53408796,0.51332130
6.53664796,0.51332130
6.53920796,0.51332130
6.54176796,0.51332130
6.54432796,0.51332130
6.54688796,0.51332130
6.54944796,0.51332130
6.55200796,0.51332130
6.55456796,0.33692430
6.55712796,0.33692430
6.55968796,0.51332130
6.56224796,0.33692430
6.56480796,0.33692430
6.56736796,0.33692430
6.56992796,0.33692430
6.57248796,0.33692430
6.57504796,0.33692430
6.57760796,0.33692430
6.58016796,0.33692430
6.58272796,0.33692430
6.58528796,0.33692430
6.58784796,0.33692430
6.59040796,0.33692430
6.59296796,0.33692430
6.59552796,0.33692430
6.59808796,0.33692430
6.60064796,0.16052740
6.60320796,0.33692430
6.60576796,0.16052740
6.60832796,0.16052740
6.61088796,0.16052740
6.61344796,0.16052740
6.61600796,0.16052740
6.61856796,-0.01525925
6.62112796,0.16052740
6.62368796,-0.01525925
6.62624796,0.16052740
6.62880796,0.16052740
6.63136796,-0.01525925
6.63392796,-0.01525925
6.63648796,-0.01525925
6.63904796,-0.01525925
6.64160796,-0.19104590
6.64416796,-0.19104590
6.64672796,-0.19104590
6.64928796,-0.19104590
6.65184796,-0.19104590
6.65440796,-0.19104590
6.65696796,-0.19104590
6.65952796,-0.19104590
6.66208796,-0.19104590
6.66464796,-0.19104590
6.66720796,-0.19104590
6.66976796,-0.19104590
6.67232796,-0.19104590
6.67488796,-0.19104590
6.67744796,-0.36744280
6.68000796,-0.36744280
6.68256796,-0.36744280
6.68512796,-0.36744280
6.68768796,-0.36744280
6.69024796,-0.36744280
6.69280796,-0.36744280
6.69536796,-0.36744280
6.69792796,-0.36744280
6.70048796,-0.36744280
6.70304796,-0.36744280
6.70560796,-0.36744280
6.70816796,-0.54383980
6.71072796,-0.54383980
6.71328796,-0.36744280
6.71584796,-0.36744280
6.71840796,-0.36744280
6.72096796,-0.54383980
6.72352796,-0.54383980
6.72608796,-0.54383980
6.72864796,-0.36744280
6.73120796,-0.54383980
6.73376796,-0.54383980
6.73632796,-0.54383980
6.73888796,-0.54383980
6.74144796,-0.54383980
6.74400796,-0.54383980
6.74656796,-0.54383980
6.74912796,-0.54383980
6.75168796,-0.54383980
6.75424796,-0.54383980
6.75680796,-0.54383980
6.75936796,-0.54383980
6.76192796,-0.54383980
6.76448796,-0.54383980
6.76704796,-0.54383980
6.76960796,-0.54383980
6.77216796,-0.54383980
6.77472796,-0.54383980
6.77728796,-0.54383980
6.77984796,-0.54383980
6.78240796,-0.54383980
6.78496796,-0.36744280
6.78752796,-0.54383980
6.79008796,-0.36744280
6.79264796,-0.54383980
6.79520796,-0.54383980
6.79776796,-0.36744280
6.80032796,-0.54383980
6.80288796,-0.36744280
6.80544796,-0.36744280
6.80800796,-0.54383980
6.81056796,-0.54383980
6.81312796,-0.54383980
6.81568796,-0.36744280
6.81824796,-0.36744280
6.82080796,-0.54383980
6.82336796,-0.36744280
6.82592796,-0.36744280
6.82848796,-0.36744280
6.83104796,-0.36744280
6.83360796,-0.36744280
6.83616796,-0.36744280
6.83872796,-0.36744280
6.84128796,-0.36744280
6.84384796,-0.36744280
6.84640796,-0.19104590
6.84896796,-0.19104590
6.85152796,-0.36744280
6.85408796,-0.36744280
6.85664796,-0.36744280
6.85920796,-0.19104590
6.86176796,-0.19104590
6.86432796,-0.19104590
6.86688796,-0.19104590
6.86944796,-0.19104590
6.87200796,-0.19104590
6.87456796,-0.19104590
6.87712796,-0.19104590
6.87968796,-0.19104590
6.88224796,-0.19104590
6.88480796,-0.01525925
6.88736796,-0.19104590
6.88992796,-0.01525925
6.89248796,-0.01525925
6.89504796,-0.01525925
6.89760796,-0.01525925
6.90016796,-0.01525925
6.90272796,-0.01525925
6.90528796,0.16052740
6.90784796,0.16052740
6.91040796,-0.01525925
6.91296796,-0.01525925
6.91552796,-0.01525925
6.91808796,0.16052740
6.92064796,0.16052740
6.92320796,0.16052740
6.92576796,0.16052740
6.92832796,0.16052740
6.93088796,0.16052740
6.93344796,0.16052740
6.93600796,0.33692430
6.93856796,0.16052740
6.94112796,0.33692430
6.94368796,0.33692430
6.94624796,0.33692430
6.94880796,0.33692430
6.95136796,0.33692430
6.95392796,0.33692430
6.95648796,0.33692430
6.95904796,0.33692430
6.96160796,0.33692430
6.96416796,0.33692430
6.96672796,0.33692430
6.96928796,0.33692430
6.97184796,0.33692430
6.97440796,0.51332130
6.97696796,0.33692430
6.97952796,0.51332130
6.98208796,0.51332130
6.98464796,0.51332130
6.98720796,0.33692430
6.98976796,0.51332130
6.99232796,0.51332130
6.99488796,0.51332130
6.99744796,0.51332130
7.00000796,0.51332130
7.00256796,0.51332130
7.00512796,0.51332130
7.00768796,0.51332130
7.01024796,0.51332130
7.01280796,0.51332130
7.01536796,0.51332130
7.01792796,0.51332130
7.02048796,0.51332130
7.02304796,0.51332130
7.02560796,0.51332130
7.02816796,0.51332130
7.03072796,0.51332130
7.03328796,0.51332130
7.03584796,0.51332130
7.03840796,0.51332130
7.04096796,0.51332130
7.04352796,0.51332130
7.04608796,0.51332130
7.04864796,0.51332130
7.05120796,0.51332130
7.05376796,0.51332130
7.05632796,0.51332130
7.05888796,0.51332130
7.06144796,0.51332130
7.06400796,0.51332130
7.06656796,0.51332130
7.06912796,0.51332130
7.07168796,0.51332130
7.07424796,0.51332130
7.07680796,0.51332130
7.07936796,0.51332130
7.08192796,0.51332130
7.08448796,0.51332130
7.08704796,0.51332130
7.08960796,0.51332130
7.09216796,0.51332130
7.09472796,0.51332130
7.09728796,0.51332130
7.09984796,0.51332130
7.10240796,0.51332130
7.10496796,0.33692430
7.10752796,0.33692430
7.11008796,0.33692430
7.11264796,0.33692430
7.11520796,0.33692430
7.11776796,0.33692430
7.12032796,0.33692430
7.12288796,0.33692430
7.12544796,0.33692430
7.12800796,0.33692430
7.13056796,0.33692430
7.13312796,0.16052740
7.13568796,0.33692430
7.13824796,0.33692430
7.14080796,0.33692430
7.14336796,0.16052740
7.14592796,0.16052740
7.14848796,0.16052740
7.15104796,0.33692430
7.15360796,0.16052740
7.15616796,0.16052740
7.15872796,0.16052740
7.16128796,0.16052740
7.16384796,0.16052740
7.16640796,0.16052740
7.16896796,-0.01525925
7.17152796,0.16052740
7.17408796,-0.01525925
7.17664796,-0.01525925
7.17920796,-0.01525925
7.18176796,-0.01525925
7.18432796,-0.01525925
7.18688796,-0.01525925
7.18944796,-0.01525925
7.19200796,-0.01525925
7.19456796,-0.01525925
7.19712796,-0.01525925
7.19968796,-0.19104590
7.20224796,-0.19104590
7.20480796,-0.19104590
7.20736796,-0.01525925
7.20992796,-0.19104590
7.21248796,-0.19104590
7.21504796,-0.19104590
7.21760796,-0.19104590
7.22016796,-0.19104590
7.22272796,-0.19104590
7.22528796,-0.19104590
7.22784796,-0.19104590
7.23040796,-0.19104590
7.23296796,-0.36744280
7.23552796,-0.36744280
7.23808796,-0.36744280
7.24064796,-0.36744280
7.24320796,-0.36744280
7.24576796,-0.36744280
7.24832796,-0.36744280
7.25088796,-0.36744280
7.25344796,-0.36744280
7.25600796,-0.36744280
7.25856796,-0.36744280
7.26112796,-0.36744280
7.26368796,-0.36744280
7.26624796,-0.36744280
7.26880796,-0.36744280
7.27136796,-0.36744280
7.27392796,-0.36744280
7.27648796,-0.36744280
7.27904796,-0.36744280
7.28160796,-0.36744280
7.28416796,-0.36744280
7.28672796,-0.36744280
7.28928796,-0.36744280
7.29184796,-0.36744280
7.29440796,-0.36744280
7.29696796,-0.36744280
7.29952796,-0.36744280
7.30208796,-0.36744280
7.30464796,-0.36744280
7.30720796,-0.36744280
7.30976796,-0.36744280
7.31232796,-0.54383980
7.31488796,-0.36744280
7.31744796,-0.54383980
7.32000796,-0.54383980
7.32256796,-0.36744280
7.32512796,-0.36744280
7.32768796,-0.36744280
7.33024796,-0.36744280
7.33280796,-0.36744280
7.33536796,-0.36744280
7.33792796,-0.36744280
7.34048796,-0.36744280
7.34304796,-0.36744280
7.34560796,-0.36744280
7.34816796,-0.36744280
7.35072796,-0.36744280
7.35328796,-0.36744280
7.35584796,-0.36744280
7.35840796,-0.36744280
7.36096796,-0.36744280
7.36352796,-0.36744280
7.36608796,-0.36744280
7.36864796,-0.36744280
7.37120796,-0.36744280
7.37376796,-0.36744280
7.37632796,-0.36744280
7.37888796,-0.36744280
7.38144796,-0.36744280
7.38400796,-0.36744280
7.38656796,-0.36744280
7.38912796,-0.19104590
7.39168796,-0.36744280
7.39424796,-0.36744280
7.39680796,-0.19104590
7.39936796,-0.36744280
7.40192796,-0.19104590
7.40448796,-0.19104590
7.40704795,-0.19104590
7.40960795,-0.19104590
7.41216795,-0.19104590
7.41472795,-0.19104590
7.41728795,-0.19104590
7.41984795,-0.19104590
7.42240795,-0.19104590
7.42496795,-0.19104590
7.42752795,-0.19104590
7.43008795,-0.19104590
7.43264795,-0.19104590
7.43520795,-0.01525925
7.43776795,-0.19104590
7.44032795,-0.01525925
7.44288795,-0.01525925
7.44544795,-0.01525925
7.44800795,-0.01525925
7.45056795,-0.01525925
7.45312795,-0.01525925
7.45568795,-0.01525925
7.45824795,0.16052740
7.46080795,0.16052740
7.46336795,0.16052740
7.46592795,0.16052740
