t (s),U1(V)
0.820000,-0.711128
0.821000,-0.711128
0.822000,-0.711128
0.823000,-0.711128
0.824000,-0.705899
0.825000,-0.711128
0.826000,-0.705899
0.827000,-0.705899
0.828000,-0.705899
0.829000,-0.700670
0.830000,-0.700670
0.831000,-0.700670
0.832000,-0.700670
0.833000,-0.695441
0.834000,-0.695441
0.835000,-0.695441
0.836000,-0.690212
0.837000,-0.690212
0.838000,-0.690212
0.839000,-0.690212
0.840000,-0.690212
0.841000,-0.684983
0.842000,-0.684983
0.843000,-0.684983
0.844000,-0.684983
0.845000,-0.679755
0.846000,-0.679755
0.847000,-0.679755
0.848000,-0.679755
0.849000,-0.674526
0.850000,-0.674526
0.851000,-0.674526
0.852000,-0.669297
0.853000,-0.669297
0.854000,-0.669297
0.855000,-0.669297
0.856000,-0.669297
0.857000,-0.664068
0.858000,-0.664068
0.859000,-0.664068
0.860000,-0.658839
0.861000,-0.658839
0.862000,-0.653610
0.863000,-0.653610
0.864000,-0.658839
0.865000,-0.653610
0.866000,-0.653610
0.867000,-0.653610
0.868000,-0.648381
0.869000,-0.648381
0.870000,-0.643152
0.871000,-0.643152
0.872000,-0.643152
0.873000,-0.643152
0.874000,-0.643152
0.875000,-0.637924
0.876000,-0.637924
0.877000,-0.632695
0.878000,-0.632695
0.879000,-0.632695
0.880000,-0.632695
0.881000,-0.632695
0.882000,-0.627466
0.883000,-0.627466
0.884000,-0.627466
0.885000,-0.622237
0.886000,-0.622237
0.887000,-0.617008
0.888000,-0.617008
0.889000,-0.622237
0.890000,-0.611779
0.891000,-0.611779
0.892000,-0.611779
0.893000,-0.611779
0.894000,-0.611779
0.895000,-0.606550
0.896000,-0.606550
0.897000,-0.606550
0.898000,-0.601321
0.899000,-0.601321
0.900000,-0.601321
0.901000,-0.596092
0.902000,-0.596092
0.903000,-0.596092
0.904000,-0.596092
0.905000,-0.590864
0.906000,-0.590864
0.907000,-0.590864
0.908000,-0.585635
0.909000,-0.580406
0.910000,-0.580406
0.911000,-0.580406
0.912000,-0.580406
0.913000,-0.580406
0.914000,-0.575177
0.915000,-0.569948
0.916000,-0.569948
0.917000,-0.569948
0.918000,-0.569948
0.919000,-0.564719
0.920000,-0.564719
0.921000,-0.564719
0.922000,-0.559490
0.923000,-0.559490
0.924000,-0.559490
0.925000,-0.554261
0.926000,-0.554261
0.927000,-0.554261
0.928000,-0.549033
0.929000,-0.554261
0.930000,-0.549033
0.931000,-0.543804
0.932000,-0.543804
0.933000,-0.538575
0.934000,-0.538575
0.935000,-0.533346
0.936000,-0.533346
0.937000,-0.533346
0.938000,-0.533346
0.939000,-0.528117
0.940000,-0.528117
0.941000,-0.522888
0.942000,-0.522888
0.943000,-0.528117
0.944000,-0.522888
0.945000,-0.522888
0.946000,-0.517659
0.947000,-0.517659
0.948000,-0.512430
0.949000,-0.512430
0.950000,-0.507201
0.951000,-0.507201
0.952000,-0.507201
0.953000,-0.501973
0.954000,-0.501973
0.955000,-0.496744
0.956000,-0.496744
0.957000,-0.491515
0.958000,-0.491515
0.959000,-0.491515
0.960000,-0.486286
0.961000,-0.491515
0.962000,-0.486286
0.963000,-0.481057
0.964000,-0.481057
0.965000,-0.475828
0.966000,-0.475828
0.967000,-0.470599
0.968000,-0.470599
0.969000,-0.470599
0.970000,-0.470599
0.971000,-0.470599
0.972000,-0.465370
0.973000,-0.460142
0.974000,-0.460142
0.975000,-0.454913
0.976000,-0.454913
0.977000,-0.454913
0.978000,-0.454913
0.979000,-0.449684
0.980000,-0.449684
0.981000,-0.444455
0.982000,-0.444455
0.983000,-0.439226
0.984000,-0.439226
0.985000,-0.439226
0.986000,-0.433997
0.987000,-0.433997
0.988000,-0.428768
0.989000,-0.428768
0.990000,-0.423539
0.991000,-0.423539
0.992000,-0.423539
0.993000,-0.418311
0.994000,-0.418311
0.995000,-0.413082
0.996000,-0.413082
0.997000,-0.407853
0.998000,-0.407853
0.999000,-0.407853
1.000000,-0.407853
1.001000,-0.402624
1.002000,-0.402624
1.003000,-0.397395
1.004000,-0.392166
1.005000,-0.392166
1.006000,-0.392166
1.007000,-0.392166
1.008000,-0.386937
1.009000,-0.386937
1.010000,-0.386937
1.011000,-0.381708
1.012000,-0.376479
1.013000,-0.381708
1.014000,-0.376479
1.015000,-0.376479
1.016000,-0.371251
1.017000,-0.371251
1.018000,-0.366022
1.019000,-0.366022
1.020000,-0.366022
1.021000,-0.360793
1.022000,-0.355564
1.023000,-0.355564
1.024000,-0.355564
1.025000,-0.350335
1.026000,-0.350335
1.027000,-0.345106
1.028000,-0.345106
1.029000,-0.345106
1.030000,-0.339877
1.031000,-0.334648
1.032000,-0.334648
1.033000,-0.334648
1.034000,-0.329420
1.035000,-0.329420
1.036000,-0.324191
1.037000,-0.324191
1.038000,-0.324191
1.039000,-0.324191
1.040000,-0.318962
1.041000,-0.318962
1.042000,-0.313733
1.043000,-0.308504
1.044000,-0.308504
1.045000,-0.308504
1.046000,-0.303275
1.047000,-0.303275
1.048000,-0.303275
1.049000,-0.298046
1.050000,-0.292817
1.051000,-0.292817
1.052000,-0.292817
1.053000,-0.287588
1.054000,-0.287588
1.055000,-0.282360
