"Frequency[kHz]","Channel A[dBu]"
19.78874207,-61.11321000
19.83642578,-52.29873000
19.88410950,-53.59029000
19.93179321,-56.65749000
19.97947693,-54.58273000
20.02716064,-52.31725000
20.07484436,-58.33069000
20.12252808,-62.15713000
20.17021179,-66.87463000
20.21789551,-59.60445000
20.26557922,-59.32001000
20.31326294,-64.75320000
20.36094666,-55.57548000
20.40863037,-55.07626000
20.45631409,-52.93394000
20.50399780,-50.61334000
20.55168152,-53.42461000
20.59936523,-64.12132000
20.64704895,-56.88828000
20.69473267,-58.86437000
20.74241638,-70.14415000
20.79010010,-60.46941000
20.83778381,-55.15292000
20.88546753,-60.02874000
20.93315125,-53.49361000
20.98083496,-48.29505000
21.02851868,-50.47407000
21.07620239,-59.25852000
21.12388611,-57.64759000
21.17156982,-50.66690000
21.21925354,-54.77434000
21.26693726,-57.48846000
21.31462097,-51.54932000
21.36230469,-53.93074000
21.40998840,-56.94333000
21.45767212,-53.94460000
21.50535583,-51.74953000
21.55303955,-51.19554000
21.60072327,-49.48558000
21.64840698,-51.09084000
21.69609070,-63.72161000
21.74377441,-59.12651000
21.79145813,-64.27709000
21.83914185,-68.92580000
21.88682556,-60.81947000
21.93450928,-57.28030000
21.98219299,-58.11512000
22.02987671,-55.51023000
22.07756042,-50.47415000
22.12524414,-50.79380000
22.17292786,-64.27383000
22.22061157,-55.78380000
22.26829529,-54.72606000
22.31597900,-55.82544000
22.36366272,-52.90887000
22.41134644,-53.83698000
22.45903015,-64.24980000
22.50671387,-57.50443000
22.55439758,-58.93314000
22.60208130,-57.75574000
22.64976501,-59.06651000
22.69744873,-55.31235000
22.74513245,-55.71479000
22.79281616,-67.10670000
22.84049988,-88.85378000
22.88818359,-60.14946000
22.93586731,-56.16793000
22.98355103,-59.76905000
23.03123474,-68.23180000
23.07891846,-61.30452000
23.12660217,-58.39290000
23.17428589,-55.37477000
23.22196960,-57.96114000
23.26965332,-55.01169000
23.31733704,-57.98655000
23.36502075,-57.75339000
23.41270447,-56.70506000
23.46038818,-57.09692000
23.50807190,-62.76488000
23.55575562,-67.52805000
23.60343933,-58.06084000
23.65112305,-53.36168000
23.69880676,-58.47661000
23.74649048,-66.07910000
23.79417419,-64.65295000
23.84185791,-72.29935000
23.88954163,-60.40830000
23.93722534,-61.37173000
23.98490906,-54.26767000
24.03259277,-49.97758000
24.08027649,-50.54431000
24.12796021,-62.35843000
24.17564392,-56.26889000
24.22332764,-53.43037000
24.27101135,-55.87547000
24.31869507,-61.23906000
24.36637878,-51.38530000
24.41406250,-54.36607000
24.46174622,-62.34604000
24.50942993,-60.00862000
24.55711365,-59.38208000
24.60479736,-52.05932000
24.65248108,-51.45581000
24.70016479,-53.84000000
24.74784851,-63.51017000
24.79553223,-54.13189000
24.84321594,-54.60773000
24.89089966,-65.96815000
24.93858337,-63.11129000
24.98626709,-59.48734000
25.03395081,-50.67794000
25.08163452,-48.30624000
25.12931824,-51.77174000
25.17700195,-55.91261000
25.22468567,-58.36282000
25.27236938,-62.91086000
25.32005310,-59.14757000
25.36773682,-53.50415000
25.41542053,-51.50032000
25.46310425,-54.39663000
25.51078796,-57.30196000
25.55847168,-58.23016000
25.60615540,-59.81166000
25.65383911,-55.46101000
25.70152283,-54.94150000
25.74920654,-58.25226000
25.79689026,-54.88335000
25.84457397,-58.78597000
25.89225769,-63.64743000
25.93994141,-58.96584000
25.98762512,-59.16372000
26.03530884,-60.40147000
26.08299255,-63.19557000
26.13067627,-56.67429000
26.17835999,-57.26450000
26.22604370,-66.81018000
26.27372742,-65.33768000
26.32141113,-65.02201000
26.36909485,-64.77235000
26.41677856,-56.90903000
26.46446228,-59.38752000
26.51214600,-68.18603000
26.55982971,-59.37399000
26.60751343,-55.65447000
26.65519714,-51.04204000
26.70288086,-55.07256000
26.75056458,-79.21899000
26.79824829,-64.63316000
26.84593201,-66.30040000
26.89361572,-69.53043000
26.94129944,-58.95262000
26.98898315,-54.36083000
27.03666687,-60.37009000
27.08435059,-63.08112000
27.13203430,-52.27822000
27.17971802,-50.73408000
27.22740173,-63.12752000
27.27508545,-57.97240000
27.32276917,-60.17384000
27.37045288,-60.82458000
27.41813660,-56.86911000
27.46582031,-54.22675000
27.51350403,-54.06778000
27.56118774,-55.83245000
27.60887146,-54.27467000
27.65655518,-50.91579000
27.70423889,-51.07596000
27.75192261,-54.33454000
27.79960632,-54.40923000
27.84729004,-52.19140000
27.89497375,-57.03999000
27.94265747,-59.64742000
27.99034119,-56.18482000
28.03802490,-64.88506000
28.08570862,-52.59442000
28.13339233,-53.12169000
28.18107605,-58.98779000
28.22875977,-64.25712000
28.27644348,-62.83245000
28.32412720,-68.22641000
28.37181091,-58.09028000
28.41949463,-53.75996000
28.46717834,-53.25071000
28.51486206,-57.81335000
28.56254578,-61.57485000
28.61022949,-57.37957000
28.65791321,-53.58925000
28.70559692,-52.82518000
28.75328064,-52.93423000
28.80096436,-53.31728000
28.84864807,-58.01857000
28.89633179,-56.15426000
28.94401550,-56.86431000
28.99169922,-63.58103000
29.03938293,-71.28696000
29.08706665,-60.26573000
29.13475037,-58.35109000
29.18243408,-62.11412000
29.23011780,-52.76794000
29.27780151,-52.72623000
29.32548523,-56.49895000
