"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.210128132E1,1.067198873E0,-4.307080805E-2,-9.647860527E0
9.210339205E1,1.071984529E0,-3.349951655E-2,-9.652647018E0
9.210550283E1,1.071984529E0,-4.307080805E-2,-9.647860527E0
9.210761362E1,1.057627559E0,-5.264209956E-2,-9.657432556E0
9.210972440E1,1.057627559E0,-4.785645381E-2,-9.609575272E0
9.211183513E1,1.076770186E0,-5.264209956E-2,-9.619147301E0
9.211394591E1,1.076770186E0,-5.264209956E-2,-9.609575272E0
9.211605669E1,1.062413216E0,-4.785645381E-2,-9.614361763E0
9.211816747E1,1.071984529E0,-4.307080805E-2,-9.604789734E0
9.212027820E1,1.071984529E0,-4.785645381E-2,-9.609575272E0
9.212238898E1,1.067198873E0,-2.871387079E-2,-9.614361763E0
9.212449976E1,1.071984529E0,-4.307080805E-2,-9.576076508E0
9.212661054E1,1.062413216E0,-5.742774159E-2,-9.576076508E0
9.212872127E1,1.062413216E0,-5.264209956E-2,-9.576076508E0
9.213083205E1,1.071984529E0,-4.785645381E-2,-9.561718941E0
9.213294283E1,1.057627559E0,-3.828516230E-2,-9.537791252E0
9.213505362E1,1.057627559E0,-4.307080805E-2,-9.561718941E0
9.213716440E1,1.071984529E0,-4.307080805E-2,-9.537791252E0
9.213927513E1,1.062413216E0,-5.742774159E-2,-9.523433685E0
9.214138591E1,1.048056364E0,-3.828516230E-2,-9.537791252E0
9.214349669E1,1.071984529E0,-4.785645381E-2,-9.542576790E0
9.214560747E1,1.100698471E0,-5.742774159E-2,-9.537791252E0
9.214771820E1,1.067198873E0,-3.828516230E-2,-9.537791252E0
9.214982898E1,1.086341500E0,-3.828516230E-2,-9.552147865E0
9.215193976E1,1.062413216E0,-5.264209956E-2,-9.537791252E0
9.215405054E1,1.067198873E0,-3.828516230E-2,-9.537791252E0
9.215616127E1,1.071984529E0,-5.742774159E-2,-9.533005714E0
9.215827205E1,1.071984529E0,-4.307080805E-2,-9.537791252E0
9.216038283E1,1.057627559E0,-3.349951655E-2,-9.533005714E0
9.216249362E1,1.067198873E0,-5.264209956E-2,-9.528220177E0
9.216460434E1,1.067198873E0,-3.828516230E-2,-9.513862610E0
9.216671513E1,1.071984529E0,-5.264209956E-2,-9.509077072E0
9.216882591E1,1.067198873E0,-4.785645381E-2,-9.504291534E0
9.217093669E1,1.076770186E0,-5.264209956E-2,-9.470791817E0
9.217304742E1,1.067198873E0,-5.264209956E-2,-9.475577354E0
9.217515820E1,1.052842021E0,-4.785645381E-2,-9.480362892E0
9.217726898E1,1.057627559E0,-6.221338734E-2,-9.470791817E0
9.217937976E1,1.062413216E0,-5.264209956E-2,-9.446864128E0
9.218149049E1,1.071984529E0,-5.742774159E-2,-9.437292099E0
9.218360127E1,1.062413216E0,-6.221338734E-2,-9.427721024E0
9.218571205E1,1.057627559E0,-3.828516230E-2,-9.432506561E0
9.218782283E1,1.076770186E0,-4.307080805E-2,-9.432506561E0
9.218993356E1,1.076770186E0,-3.828516230E-2,-9.451649666E0
9.219204434E1,1.067198873E0,-4.785645381E-2,-9.446864128E0
9.219415513E1,1.071984529E0,-6.221338734E-2,-9.456435204E0
9.219626591E1,1.081555843E0,-3.828516230E-2,-9.456435204E0
9.219837669E1,1.076770186E0,-4.785645381E-2,-9.485149384E0
9.220048742E1,1.067198873E0,-4.785645381E-2,-9.470791817E0
9.220259820E1,1.062413216E0,-5.264209956E-2,-9.461220741E0
9.220470898E1,1.052842021E0,-4.785645381E-2,-9.466006279E0
9.220681976E1,1.076770186E0,-6.221338734E-2,-9.470791817E0
9.220893049E1,1.071984529E0,-4.307080805E-2,-9.480362892E0
9.221104127E1,1.067198873E0,-3.349951655E-2,-9.494720459E0
9.221315205E1,1.076770186E0,-4.785645381E-2,-9.470791817E0
9.221526283E1,1.076770186E0,-3.828516230E-2,-9.442078590E0
9.221737351E1,1.062413216E0,-4.785645381E-2,-9.446864128E0
9.221948434E1,1.081555843E0,-3.349951655E-2,-9.451649666E0
9.222159513E1,1.067198873E0,-2.871387079E-2,-9.432506561E0
9.222370591E1,1.067198873E0,-3.349951655E-2,-9.451649666E0
9.222581664E1,1.076770186E0,-4.307080805E-2,-9.408578873E0
9.222792742E1,1.071984529E0,-5.264209956E-2,-9.403793335E0
9.223003820E1,1.081555843E0,-2.871387079E-2,-9.379864693E0
9.223214898E1,1.086341500E0,-3.828516230E-2,-9.399007797E0
9.223425971E1,1.067198873E0,-3.828516230E-2,-9.379864693E0
9.223637049E1,1.067198873E0,-3.349951655E-2,-9.384650230E0
9.223848127E1,1.057627559E0,-2.871387079E-2,-9.370293617E0
9.224059205E1,1.071984529E0,-2.871387079E-2,-9.370293617E0
9.224270278E1,1.062413216E0,-4.785645381E-2,-9.375079155E0
9.224481356E1,1.057627559E0,-4.785645381E-2,-9.375079155E0
9.224692434E1,1.057627559E0,-2.871387079E-2,-9.389435768E0
9.224903513E1,1.071984529E0,-3.828516230E-2,-9.408578873E0
9.225114591E1,1.062413216E0,-5.264209956E-2,-9.418149948E0
9.225325664E1,1.062413216E0,-3.349951655E-2,-9.418149948E0
9.225536742E1,1.062413216E0,-3.349951655E-2,-9.437292099E0
9.225747820E1,1.071984529E0,-2.871387079E-2,-9.432506561E0
9.225958898E1,1.081555843E0,-3.349951655E-2,-9.418149948E0
9.226169971E1,1.086341500E0,-4.785645381E-2,-9.437292099E0
9.226381049E1,1.081555843E0,-5.264209956E-2,-9.427721024E0
9.226592127E1,1.071984529E0,-3.828516230E-2,-9.418149948E0
9.226803205E1,1.071984529E0,-3.349951655E-2,-9.413364410E0
9.227014278E1,1.067198873E0,-1.914258115E-2,-9.399007797E0
9.227225356E1,1.076770186E0,-4.307080805E-2,-9.394221306E0
9.227436434E1,1.062413216E0,-1.435693540E-2,-9.394221306E0
9.227647513E1,1.067198873E0,-3.828516230E-2,-9.399007797E0
9.227858586E1,1.071984529E0,-3.349951655E-2,-9.341579437E0
9.228069664E1,1.067198873E0,-3.349951655E-2,-9.375079155E0
9.228280742E1,1.057627559E0,-2.392822690E-2,-9.379864693E0
9.228491820E1,1.048056364E0,-3.349951655E-2,-9.351150513E0
9.228702893E1,1.057627559E0,-2.392822690E-2,-9.351150513E0
