"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.251153280E-1,-8.399390616E-3,-8.704823442E-3,9.972367436E-2
2.272261090E-1,-8.399390616E-3,-6.261364091E-3,1.021671370E-1
2.293368900E-1,-1.084284950E-2,-7.483093534E-3,1.046105921E-1
2.314476710E-1,-8.399390616E-3,-7.483093534E-3,1.058323234E-1
2.335584530E-1,-7.177661173E-3,-8.704823442E-3,1.094975099E-1
2.356692340E-1,-1.084284950E-2,-9.926552884E-3,1.107192412E-1
2.377800150E-1,-1.206457894E-2,-9.926552884E-3,1.131627038E-1
2.398907960E-1,-1.084284950E-2,-1.237001177E-2,1.143844277E-1
2.420015780E-1,-1.328630932E-2,-1.114828233E-2,1.156061590E-1
2.441123590E-1,-1.450803876E-2,-9.926552884E-3,1.168278903E-1
2.462231400E-1,-1.450803876E-2,-1.114828233E-2,1.192713454E-1
2.483339210E-1,-1.695149764E-2,-1.237001177E-2,1.217148080E-1
2.504447030E-1,-1.695149764E-2,-1.359174121E-2,1.229365394E-1
2.525554320E-1,-1.817322709E-2,-1.481347065E-2,1.229365394E-1
2.546662650E-1,-1.817322709E-2,-1.603520103E-2,1.253799945E-1
2.567770460E-1,-1.695149764E-2,-1.970038936E-2,1.253799945E-1
2.588877760E-1,-1.817322709E-2,-2.092211880E-2,1.266017258E-1
2.609985570E-1,-1.695149764E-2,-2.458730713E-2,1.290451884E-1
2.631093380E-1,-1.695149764E-2,-2.580903657E-2,1.290451884E-1
2.652201190E-1,-1.450803876E-2,-2.825249545E-2,1.302669197E-1
2.673309530E-1,-1.572976820E-2,-2.947422490E-2,1.314886510E-1
2.694416820E-1,-1.572976820E-2,-3.191768378E-2,1.327103674E-1
2.715524630E-1,-1.572976820E-2,-3.436114267E-2,1.327103674E-1
2.736632440E-1,-1.572976820E-2,-3.436114267E-2,1.327103674E-1
2.757740260E-1,-1.572976820E-2,-3.680460155E-2,1.339320987E-1
2.778848070E-1,-1.572976820E-2,-3.436114267E-2,1.339320987E-1
2.799955880E-1,-1.817322709E-2,-3.558287397E-2,1.351538301E-1
2.821063690E-1,-1.817322709E-2,-3.558287397E-2,1.363755614E-1
2.842171510E-1,-1.817322709E-2,-3.680460155E-2,1.363755614E-1
2.863279320E-1,-2.061668597E-2,-3.802633286E-2,1.363755614E-1
2.884387130E-1,-2.061668597E-2,-4.046979174E-2,1.375972927E-1
2.905494940E-1,-1.939495653E-2,-4.046979174E-2,1.375972927E-1
2.926602760E-1,-2.306014486E-2,-4.291325063E-2,1.363755614E-1
2.947710570E-1,-2.183841541E-2,-4.291325063E-2,1.375972927E-1
2.968818380E-1,-2.183841541E-2,-4.413498193E-2,1.375972927E-1
2.989926190E-1,-2.183841541E-2,-4.535670951E-2,1.375972927E-1
3.011034010E-1,-2.306014486E-2,-4.902189970E-2,1.375972927E-1
3.032141820E-1,-2.183841541E-2,-5.146535859E-2,1.363755614E-1
3.053249630E-1,-2.183841541E-2,-5.146535859E-2,1.363755614E-1
3.074356920E-1,-2.183841541E-2,-5.513054505E-2,1.363755614E-1
3.095464730E-1,-2.061668597E-2,-5.635227636E-2,1.351538301E-1
3.116572550E-1,-2.061668597E-2,-6.001746282E-2,1.351538301E-1
3.137680360E-1,-1.939495653E-2,-6.123919412E-2,1.339320987E-1
3.158788170E-1,-1.939495653E-2,-6.246092543E-2,1.339320987E-1
3.179895980E-1,-2.306014486E-2,-6.368265301E-2,1.327103674E-1
3.201003800E-1,-2.183841541E-2,-6.490438432E-2,1.327103674E-1
3.222111610E-1,-2.428187430E-2,-6.612611562E-2,1.327103674E-1
3.243219420E-1,-2.428187430E-2,-6.612611562E-2,1.314886510E-1
3.264327230E-1,-2.306014486E-2,-6.368265301E-2,1.302669197E-1
3.285435050E-1,-2.306014486E-2,-6.246092543E-2,1.314886510E-1
3.306542340E-1,-2.428187430E-2,-6.123919412E-2,1.302669197E-1
3.327650670E-1,-2.550360374E-2,-6.001746282E-2,1.302669197E-1
3.348758480E-1,-2.306014486E-2,-6.001746282E-2,1.302669197E-1
3.369866300E-1,-2.306014486E-2,-5.390881747E-2,1.290451884E-1
3.390974110E-1,-2.306014486E-2,-5.390881747E-2,1.290451884E-1
3.412081920E-1,-2.183841541E-2,-4.902189970E-2,1.278234571E-1
3.433189730E-1,-2.183841541E-2,-4.780016840E-2,1.278234571E-1
3.454297550E-1,-1.817322709E-2,-4.413498193E-2,1.266017258E-1
3.475405360E-1,-1.695149764E-2,-4.169152305E-2,1.266017258E-1
3.496513170E-1,-1.695149764E-2,-3.802633286E-2,1.266017258E-1
3.517620980E-1,-1.328630932E-2,-3.436114267E-2,1.266017258E-1
3.538728800E-1,-1.450803876E-2,-2.947422490E-2,1.253799945E-1
3.559836610E-1,-1.206457894E-2,-2.580903657E-2,1.241582632E-1
3.580943900E-1,-1.450803876E-2,-2.092211880E-2,1.253799945E-1
3.602051710E-1,-1.450803876E-2,-1.725693047E-2,1.229365394E-1
3.623159530E-1,-1.206457894E-2,-1.114828233E-2,1.229365394E-1
3.644267340E-1,-1.328630932E-2,-6.261364091E-3,1.229365394E-1
3.665375150E-1,-1.328630932E-2,-1.374445739E-3,1.217148080E-1
3.686482960E-1,-1.328630932E-2,1.069013379E-3,1.229365394E-1
3.707590780E-1,-1.328630932E-2,7.177661173E-3,1.217148080E-1
3.728698590E-1,-1.450803876E-2,1.328630932E-2,1.217148080E-1
3.749806400E-1,-1.450803876E-2,1.817322709E-2,1.217148080E-1
3.770914210E-1,-1.450803876E-2,2.183841541E-2,1.217148080E-1
3.792022030E-1,-1.328630932E-2,2.916879393E-2,1.229365394E-1
3.813129840E-1,-1.450803876E-2,3.527744114E-2,1.217148080E-1
3.834237650E-1,-1.084284950E-2,3.894263133E-2,1.229365394E-1
3.855345460E-1,-9.621120058E-3,4.260781780E-2,1.229365394E-1
3.876453280E-1,-1.084284950E-2,4.749473557E-2,1.229365394E-1
3.897561090E-1,-9.621120058E-3,5.115992576E-2,1.241582632E-1
3.918668900E-1,-7.177661173E-3,5.482511222E-2,1.241582632E-1
3.939776710E-1,-7.177661173E-3,6.093376130E-2,1.241582632E-1
3.960884530E-1,-5.955931731E-3,6.337722391E-2,1.241582632E-1
3.981992340E-1,-7.177661173E-3,6.704241037E-2,1.241582632E-1
4.003100150E-1,-5.955931731E-3,7.315105945E-2,1.241582632E-1
4.024207960E-1,-4.734201822E-3,7.681624591E-2,1.253799945E-1
4.045315780E-1,-5.955931731E-3,8.292489499E-2,1.241582632E-1
4.066423590E-1,-7.177661173E-3,8.781181276E-2,1.229365394E-1
4.087530880E-1,-8.399390616E-3,9.147699922E-2,1.241582632E-1
4.108638690E-1,-8.399390616E-3,9.514218569E-2,1.229365394E-1
4.129746510E-1,-7.177661173E-3,9.758564830E-2,1.204930767E-1
4.150854320E-1,-9.621120058E-3,1.036942974E-1,1.217148080E-1
4.171962130E-1,-8.399390616E-3,1.085812151E-1,1.217148080E-1
4.193069940E-1,-5.955931731E-3,1.110246703E-1,1.217148080E-1
4.214177760E-1,-1.084284950E-2,1.134681329E-1,1.204930767E-1
4.235285570E-1,-8.399390616E-3,1.171333194E-1,1.180496216E-1
4.256393380E-1,-9.621120058E-3,1.159115955E-1,1.180496216E-1
4.277501190E-1,-7.177661173E-3,1.159115955E-1,1.180496216E-1
4.298609010E-1,-8.399390616E-3,1.146898642E-1,1.156061590E-1
4.319716820E-1,-7.177661173E-3,1.134681329E-1,1.143844277E-1
4.340824630E-1,-5.955931731E-3,1.110246703E-1,1.143844277E-1
4.361932440E-1,-7.177661173E-3,1.073594838E-1,1.131627038E-1
4.383040260E-1,-4.734201822E-3,1.012508348E-1,1.119409725E-1
4.404148070E-1,-7.177661173E-3,9.514218569E-2,1.094975099E-1
4.425255880E-1,-8.399390616E-3,9.269873053E-2,1.082757786E-1
4.446363690E-1,-8.399390616E-3,8.292489499E-2,1.094975099E-1
4.467471510E-1,-9.621120058E-3,7.437278330E-2,1.058323234E-1
4.488579320E-1,-9.621120058E-3,6.459894776E-2,1.046105921E-1
4.509687130E-1,-8.399390616E-3,5.604684353E-2,1.033888608E-1
4.530794940E-1,-1.084284950E-2,4.749473557E-2,1.021671370E-1
4.551902760E-1,-1.328630932E-2,3.405570984E-2,1.009454057E-1
4.573010570E-1,-1.206457894E-2,2.672533318E-2,9.972367436E-2
4.594117860E-1,-1.328630932E-2,1.572976820E-2,9.728021920E-2
4.615225670E-1,-1.450803876E-2,2.290742937E-3,9.605848789E-2
4.636333480E-1,-1.450803876E-2,-6.261364091E-3,9.483675659E-2
4.657441300E-1,-1.572976820E-2,-1.847865991E-2,9.361502528E-2
4.678549110E-1,-1.572976820E-2,-3.069595434E-2,9.361502528E-2
4.699656920E-1,-1.572976820E-2,-4.291325063E-2,9.117157012E-2
4.720764730E-1,-1.695149764E-2,-5.390881747E-2,8.994983882E-2
4.741872550E-1,-1.572976820E-2,-6.612611562E-2,8.750637621E-2
4.762980360E-1,-1.572976820E-2,-7.712167501E-2,8.750637621E-2
4.784088170E-1,-1.450803876E-2,-9.056070447E-2,8.506292105E-2
4.805195980E-1,-1.572976820E-2,-9.911280870E-2,8.261945844E-2
4.826303800E-1,-1.328630932E-2,-1.076649204E-1,8.017600328E-2
4.847411610E-1,-1.695149764E-2,-1.174387559E-1,7.651081681E-2
4.868519420E-1,-1.450803876E-2,-1.235474050E-1,7.528908551E-2
4.889627230E-1,-1.206457894E-2,-1.308777779E-1,7.284562290E-2
4.910735050E-1,-1.328630932E-2,-1.369864196E-1,7.040216774E-2
4.931842860E-1,-1.450803876E-2,-1.406516135E-1,6.673697382E-2
4.952950670E-1,-1.572976820E-2,-1.443168074E-1,6.551524997E-2
4.974058480E-1,-1.572976820E-2,-1.479819864E-1,6.062832847E-2
4.995166300E-1,-1.695149764E-2,-1.504254490E-1,5.818486959E-2
5.016274110E-1,-1.695149764E-2,-1.528689116E-1,5.696314201E-2
5.037373070E-1,-1.817322709E-2,-1.492037177E-1,5.451968312E-2
5.058489730E-1,-1.817322709E-2,-1.467602700E-1,5.085449293E-2
5.079597550E-1,-1.695149764E-2,-1.455385387E-1,4.963276163E-2
5.100705360E-1,-1.572976820E-2,-1.394298822E-1,4.596757516E-2
