"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.953065260E-1,-4.648590088E-2,4.859536514E-2,-1.804742813E-1
6.003065260E-1,-1.624255180E-1,1.129331067E-2,4.330348969E-2
6.053065260E-1,-2.804670334E-1,-1.866538078E-3,2.209548950E-1
6.103065260E-1,-3.598575592E-1,-1.712271199E-2,3.132219315E-1
6.153065260E-1,-3.924732208E-1,-2.347576991E-2,2.969408035E-1
6.203065260E-1,-3.676791191E-1,-3.628703952E-2,1.638402939E-1
6.253065260E-1,-3.434705734E-1,-6.229504943E-2,-4.940032959E-3
6.303065260E-1,-3.186187744E-1,-7.180558890E-2,-1.533222198E-1
6.353065260E-1,-2.983546257E-1,-6.700408459E-2,-2.133893967E-1
6.403065260E-1,-2.958803177E-1,-6.862676144E-2,-1.853103638E-1
6.453065260E-1,-2.938947678E-1,-5.981134251E-2,-1.087770462E-1
6.503065260E-1,-3.155598640E-1,-7.976701111E-2,-1.227664948E-2
6.553065260E-1,-3.181719780E-1,-1.192871556E-1,5.718612671E-2
6.603065260E-1,-2.938489914E-1,-1.635660827E-1,3.005409241E-2
6.653065260E-1,-2.753453255E-1,-2.059400976E-1,-3.008365631E-2
6.703065260E-1,-2.729463577E-1,-2.444561273E-1,-5.708694458E-2
6.753065260E-1,-2.734589577E-1,-2.818245292E-1,-6.591320038E-2
6.803065260E-1,-2.579321861E-1,-3.035870194E-1,-5.647659302E-3
6.853065260E-1,-1.977591515E-1,-3.340888321E-1,1.621913910E-2
6.903065260E-1,-1.226277351E-1,-3.457546830E-1,4.738140106E-2
6.953065260E-1,-5.269336700E-2,-3.475911319E-1,6.404876709E-2
7.003065260E-1,4.723882675E-2,-3.564493656E-1,7.994174957E-2
7.053065260E-1,1.401185989E-1,-3.631868660E-1,3.775405884E-2
7.103065260E-1,2.053494453E-1,-3.480071425E-1,-2.441215515E-2
7.153065260E-1,2.231750488E-1,-3.546133339E-1,-7.769203186E-2
7.203065260E-1,2.166595459E-1,-3.349829316E-1,-8.030700684E-2
7.253065260E-1,1.563920975E-1,-2.969450653E-1,-9.851837158E-2
7.303065260E-1,8.719062805E-2,-2.465381175E-1,-9.388065338E-2
7.353065260E-1,-4.984855652E-3,-1.947038025E-1,-1.044082642E-1
7.403065260E-1,-5.355405807E-2,-1.466219127E-1,-1.049900055E-1
7.453065260E-1,-1.186223030E-1,-9.650480747E-2,-1.239748001E-1
7.503065260E-1,-1.431465149E-1,-3.641325980E-2,-1.234951019E-1
7.553065260E-1,-1.426582336E-1,1.379637420E-2,-1.200275421E-1
7.603065260E-1,-1.366887093E-1,6.064124405E-2,-8.528804779E-2
7.653065260E-1,-1.179294586E-1,1.020114869E-1,-4.479217529E-2
7.703065260E-1,-8.458280563E-2,1.271088123E-1,4.158973694E-3
7.753065260E-1,-4.970741272E-2,1.613314003E-1,4.312610626E-2
7.803065260E-1,-4.445981979E-2,1.924712211E-1,6.795120239E-2
7.853065260E-1,-5.792617798E-2,2.189211547E-1,8.395290375E-2
7.903065260E-1,-7.542943954E-2,2.641004026E-1,9.968757629E-2
7.953065260E-1,-1.028800011E-1,2.995132804E-1,1.175460815E-1
8.003065260E-1,-1.247129440E-1,3.465979695E-1,1.013460159E-1
8.053065260E-1,-1.396098137E-1,3.707270026E-1,6.759357452E-2
8.103065260E-1,-1.689543724E-1,3.538624048E-1,4.063701630E-2
8.153065260E-1,-1.820831299E-1,3.206482530E-1,3.516197205E-2
8.203065260E-1,-2.026405334E-1,2.503812313E-1,1.902484894E-2
8.253065260E-1,-2.082414627E-1,2.090914696E-1,-6.268501282E-3
8.303065260E-1,-2.092423439E-1,1.854274571E-1,-1.747226715E-2
8.353065260E-1,-1.782217026E-1,1.423595548E-1,-3.015518188E-2
8.403065260E-1,-1.284852028E-1,1.390548944E-1,-4.300117493E-2
8.453065260E-1,-7.403516769E-2,1.291052550E-1,-3.851413727E-2
8.503065260E-1,-2.818918228E-2,1.140288413E-1,-3.741550446E-2
8.553065260E-1,2.973222733E-2,9.615731239E-2,-1.694774628E-2
8.603065260E-1,7.486677170E-2,7.295477390E-2,-2.733230591E-3
8.653065260E-1,4.882669449E-2,4.059648514E-2,-1.382255554E-2
8.703065260E-1,4.428625107E-2,4.975557327E-3,1.702308655E-3
8.753065260E-1,2.009534836E-2,-1.262265444E-2,6.397247314E-3
8.803065260E-1,-4.930686951E-2,-3.373713791E-2,2.755641937E-2
8.853065260E-1,-1.485152245E-1,-3.658369929E-2,2.880668640E-2
8.903065260E-1,-2.657418251E-1,-3.779642284E-2,-1.647377014E-2
8.953065260E-1,-3.629260063E-1,-3.333096206E-2,-4.832744598E-2
9.003065260E-1,-4.227733612E-1,-5.032549798E-2,-8.897495270E-2
9.053065260E-1,-4.752750397E-1,-5.748203397E-2,-1.252202988E-1
9.103065260E-1,-5.059115887E-1,-5.080117285E-2,-1.493101120E-1
9.153065260E-1,-5.474514961E-1,-2.883274853E-2,-1.622295380E-1
9.203065260E-1,-5.598542690E-1,-2.334756404E-2,-1.380538940E-1
9.253065260E-1,-5.456359386E-1,-1.883295178E-2,-1.130352020E-1
9.303065260E-1,-5.073640347E-1,1.134760678E-3,-1.088972092E-1
9.353065260E-1,-4.716398716E-1,-2.710074186E-4,-1.130113602E-1
9.403065260E-1,-4.327881336E-1,-1.529388130E-3,-1.072931290E-1
9.453065260E-1,-3.800864220E-1,-1.104253531E-2,-5.889225006E-2
9.503065260E-1,-3.121557236E-1,1.771926880E-3,6.124496460E-3
9.553065260E-1,-2.790284157E-1,-3.023579717E-3,8.891296387E-2
9.603065260E-1,-2.296032906E-1,5.772314966E-3,1.422157288E-1
9.653065260E-1,-1.926074028E-1,1.401858404E-2,1.575927734E-1
9.703065260E-1,-1.639041901E-1,3.730153292E-2,1.447954178E-1
9.753065260E-1,-1.208472252E-1,6.282307953E-2,1.208267212E-1
9.803065260E-1,-1.149492264E-1,6.944328547E-2,6.074619293E-2
9.853065260E-1,-1.436152458E-1,7.191306353E-2,4.831314087E-3
9.903065260E-1,-1.604242325E-1,7.713485509E-2,-3.004169464E-2
9.953065260E-1,-1.853876114E-1,7.993379235E-2,-4.818058014E-2
1.000306526E0,-2.231779099E-1,8.152977377E-2,-5.986499786E-2
1.005306526E0,-2.592039108E-1,8.866602182E-2,-5.060482025E-2
1.010306526E0,-3.145723343E-1,7.100029290E-2,-5.700492859E-2
1.015306526E0,-3.378186226E-1,6.906189024E-2,-6.381511688E-2
1.020306526E0,-3.462834358E-1,9.332735837E-2,-5.613231659E-2
1.025306526E0,-3.475308418E-1,9.697330743E-2,-7.395648956E-2
1.030306526E0,-3.513140678E-1,7.053649426E-2,-8.626270294E-2
1.035306526E0,-3.474962711E-1,3.436721116E-2,-1.088113785E-1
1.040306526E0,-3.414626122E-1,1.376996934E-2,-1.149320602E-1
1.045306526E0,-3.317396641E-1,-1.677810401E-2,-1.201267242E-1
1.050306526E0,-3.577904701E-1,-1.355787367E-2,-1.299819946E-1
1.055306526E0,-4.088563919E-1,-2.478609979E-2,-1.368560791E-1
1.060306526E0,-4.402084351E-1,-2.561926842E-2,-1.360063553E-1
