"Frequency[kHz]","Channel[dBu]"
19.31190491,-54.32434000
19.35958862,-58.42327000
19.40727234,-52.10557000
19.45495605,-50.73889000
19.50263977,-58.28158000
19.55032349,-65.32872000
19.59800720,-71.10236000
19.64569092,-58.32698000
19.69337463,-58.70291000
19.74105835,-56.13715000
19.78874207,-52.04089000
19.83642578,-53.55147000
19.88410950,-55.80906000
19.93179321,-62.99350000
19.97947693,-59.85070000
20.02716064,-54.82220000
20.07484436,-55.68032000
20.12252808,-56.41220000
20.17021179,-55.49425000
20.21789551,-65.48679000
20.26557922,-62.49897000
20.31326294,-58.84820000
20.36094666,-59.01670000
20.40863037,-66.39144000
20.45631409,-65.13580000
20.50399780,-60.35420000
20.55168152,-72.69398000
20.59936523,-56.80635000
20.64704895,-55.22808000
20.69473267,-56.64730000
20.74241638,-54.77143000
20.79010010,-56.73931000
20.83778381,-69.67628000
20.88546753,-54.28264000
20.93315125,-55.55778000
20.98083496,-65.29795000
21.02851868,-65.32402000
21.07620239,-59.81407000
21.12388611,-54.32313000
21.17156982,-51.23605000
21.21925354,-52.92003000
21.26693726,-57.44702000
21.31462097,-56.44917000
21.36230469,-61.12270000
21.40998840,-58.59118000
21.45767212,-58.65187000
21.50535583,-57.27662000
21.55303955,-50.76305000
21.60072327,-54.16804000
21.64840698,-74.56237000
21.69609070,-57.47299000
21.74377441,-58.71667000
21.79145813,-58.84648000
21.83914185,-55.68694000
21.88682556,-57.42929000
21.93450928,-63.18972000
21.98219299,-58.16341000
22.02987671,-57.12638000
22.07756042,-54.29483000
22.12524414,-54.57081000
22.17292786,-57.50998000
22.22061157,-60.75579000
22.26829529,-62.43827000
22.31597900,-61.61035000
22.36366272,-60.34628000
22.41134644,-73.24995000
22.45903015,-62.33221000
22.50671387,-64.29438000
22.55439758,-54.69408000
22.60208130,-55.04286000
22.64976501,-52.04786000
22.69744873,-51.77325000
22.74513245,-53.95824000
22.79281616,-59.40730000
22.84049988,-53.78607000
22.88818359,-52.69181000
22.93586731,-56.11214000
22.98355103,-56.54539000
23.03123474,-55.41497000
23.07891846,-56.50551000
23.12660217,-60.18751000
23.17428589,-70.06352000
23.22196960,-57.02810000
23.26965332,-59.28722000
23.31733704,-57.64336000
23.36502075,-54.38404000
23.41270447,-62.16375000
23.46038818,-53.69173000
23.50807190,-54.35559000
23.55575562,-58.71329000
23.60343933,-60.38534000
23.65112305,-58.28432000
23.69880676,-58.89769000
23.74649048,-58.89167000
23.79417419,-55.38237000
23.84185791,-55.89859000
23.88954163,-61.69853000
23.93722534,-63.22278000
23.98490906,-58.96183000
24.03259277,-59.38717000
24.08027649,-59.88367000
24.12796021,-60.09947000
24.17564392,-64.57839000
24.22332764,-66.05038000
24.27101135,-59.66766000
24.31869507,-64.24123000
24.36637878,-55.24157000
24.41406250,-54.18107000
24.46174622,-60.56631000
24.50942993,-60.11671000
24.55711365,-55.01324000
24.60479736,-54.54111000
24.65248108,-57.06675000
24.70016479,-51.73389000
24.74784851,-49.28722000
24.79553223,-51.12324000
24.84321594,-55.63974000
24.89089966,-68.55116000
24.93858337,-57.31398000
24.98626709,-62.20558000
25.03395081,-62.79907000
25.08163452,-57.75211000
25.12931824,-62.72777000
25.17700195,-62.49538000
25.22468567,-58.06940000
25.27236938,-55.69730000
25.32005310,-56.94930000
25.36773682,-72.03084000
25.41542053,-62.34518000
25.46310425,-60.66139000
25.51078796,-64.56467000
25.55847168,-54.47870000
25.60615540,-50.87353000
25.65383911,-53.04103000
25.70152283,-58.09624000
25.74920654,-53.46426000
25.79689026,-53.27142000
25.84457397,-59.96574000
25.89225769,-69.13690000
25.93994141,-66.31955000
25.98762512,-62.30265000
26.03530884,-55.97004000
26.08299255,-57.33467000
26.13067627,-66.85321000
26.17835999,-63.30338000
26.22604370,-57.63811000
26.27372742,-58.80381000
26.32141113,-66.06609000
26.36909485,-60.84064000
26.41677856,-55.31901000
26.46446228,-56.79743000
26.51214600,-58.37960000
26.55982971,-54.22948000
26.60751343,-55.36026000
26.65519714,-58.25131000
26.70288086,-64.69985000
26.75056458,-61.51778000
26.79824829,-57.38427000
26.84593201,-57.56607000
26.89361572,-55.45266000
26.94129944,-58.38844000
26.98898315,-60.15024000
27.03666687,-60.13656000
27.08435059,-62.52097000
27.13203430,-67.66625000
27.17971802,-58.95295000
27.22740173,-51.18115000
27.27508545,-52.10289000
27.32276917,-63.36253000
27.37045288,-68.83487000
27.41813660,-56.64600000
27.46582031,-52.65741000
27.51350403,-52.78165000
27.56118774,-54.27310000
27.60887146,-56.57230000
27.65655518,-59.58985000
27.70423889,-54.58809000
27.75192261,-53.51703000
27.79960632,-53.68449000
27.84729004,-54.31921000
27.89497375,-67.15112000
27.94265747,-54.67022000
27.99034119,-51.19567000
28.03802490,-53.28937000
28.08570862,-57.09269000
28.13339233,-54.15074000
28.18107605,-56.10412000
28.22875977,-63.82902000
28.27644348,-58.28409000
28.32412720,-55.50908000
28.37181091,-55.82409000
28.41949463,-54.30473000
28.46717834,-53.46511000
28.51486206,-53.84231000
28.56254578,-54.04465000
28.61022949,-53.97754000
28.65791321,-57.32925000
28.70559692,-70.26645000
28.75328064,-58.19018000
28.80096436,-58.02890000
28.84864807,-62.12672000
28.89633179,-58.50836000
28.94401550,-55.94618000
28.99169922,-55.99316000
29.03938293,-57.14536000
29.08706665,-59.34893000
29.13475037,-61.79680000
29.18243408,-65.05199000
29.23011780,-55.68863000
29.27780151,-56.48002000
29.32548523,-60.59181000
29.37316895,-60.69855000
29.42085266,-59.21662000
29.46853638,-58.61232000
29.51622009,-62.70266000
29.56390381,-62.48610000
29.61158752,-56.87202000
29.65927124,-63.33206000
29.70695496,-87.26933000
29.75463867,-62.98816000
29.80232239,-55.00751000
29.85000610,-54.39080000
29.89768982,-57.23875000
29.94537354,-62.58646000
29.99305725,-58.36479000
30.04074097,-57.29404000
30.08842468,-56.52244000
30.13610840,-57.87682000
30.18379211,-60.80293000
30.23147583,-65.63731000
30.27915955,-58.43850000
30.32684326,-53.00945000
