Frequency;Channel A
(kHz);(dBu)

17,30918884;-54,18383000
17,35687256;-56,59412000
17,40455627;-53,59892000
17,45223999;-57,01400000
17,49992371;-63,13064000
17,54760742;-56,12458000
17,59529114;-58,83415000
17,64297485;-56,15372000
17,69065857;-54,19075000
17,73834229;-54,01688000
17,78602600;-58,75576000
17,83370972;-58,65122000
17,88139343;-54,27256000
17,92907715;-53,26158000
17,97676086;-53,86011000
18,02444458;-51,83424000
18,07212830;-54,73209000
18,11981201;-63,57658000
18,16749573;-56,97542000
18,21517944;-53,69668000
18,26286316;-51,66567000
18,31054688;-60,54602000
18,35823059;-54,39831000
18,40591431;-54,23956000
18,45359802;-69,38901000
18,50128174;-62,10812000
18,54896545;-62,75259000
18,59664917;-66,21318000
18,64433289;-62,80859000
18,69201660;-56,17683000
18,73970032;-54,16214000
18,78738403;-55,14524000
18,83506775;-53,57895000
18,88275146;-50,64045000
18,93043518;-51,89262000
18,97811890;-55,91137000
19,02580261;-56,01469000
19,07348633;-54,13736000
19,12117004;-56,21169000
19,16885376;-64,30946000
19,21653748;-75,88813000
19,26422119;-62,16008000
19,31190491;-60,32282000
19,35958862;-55,60900000
19,40727234;-49,13477000
19,45495605;-49,31254000
19,50263977;-51,98099000
19,55032349;-52,76188000
19,59800720;-53,14514000
19,64569092;-53,25505000
19,69337463;-50,85244000
19,74105835;-50,09775000
19,78874207;-50,17136000
19,83642578;-54,38899000
19,88410950;-59,31990000
19,93179321;-61,45721000
19,97947693;-62,10907000
20,02716064;-56,09963000
20,07484436;-51,00341000
20,12252808;-49,14631000
20,17021179;-49,61796000
20,21789551;-50,93885000
20,26557922;-53,45736000
20,31326294;-55,41706000
20,36094666;-64,30637000
20,40863037;-55,23642000
20,45631409;-52,10945000
20,50399780;-56,68927000
20,55168152;-57,62849000
20,59936523;-53,56511000
20,64704895;-54,91999000
20,69473267;-60,39924000
20,74241638;-66,36502000
20,79010010;-55,27924000
20,83778381;-55,49868000
20,88546753;-57,26455000
20,93315125;-53,47089000
20,98083496;-52,04474000
21,02851868;-51,43777000
21,07620239;-53,02900000
21,12388611;-61,00887000
21,17156982;-67,02257000
21,21925354;-60,87119000
21,26693726;-56,83593000
21,31462097;-55,34348000
21,36230469;-54,78792000
21,40998840;-51,28548000
21,45767212;-50,75660000
21,50535583;-53,53642000
21,55303955;-53,73955000
21,60072327;-55,27867000
21,64840698;-61,73052000
21,69609070;-61,53591000
21,74377441;-62,90929000
21,79145813;-62,01277000
21,83914185;-73,62344000
21,88682556;-67,47173000
21,93450928;-60,76740000
21,98219299;-56,18390000
22,02987671;-56,60728000
22,07756042;-61,49163000
22,12524414;-57,61469000
22,17292786;-54,30679000
22,22061157;-54,32919000
22,26829529;-58,91502000
22,31597900;-59,69969000
22,36366272;-62,53374000
22,41134644;-59,96272000
22,45903015;-69,01521000
22,50671387;-62,16107000
22,55439758;-76,49920000
22,60208130;-57,36551000
22,64976501;-50,21846000
22,69744873;-48,83968000
22,74513245;-54,81739000
22,79281616;-74,76623000
22,84049988;-60,39527000
22,88818359;-52,74246000
22,93586731;-47,80515000
22,98355103;-48,46597000
23,03123474;-56,45645000
23,07891846;-61,31062000
23,12660217;-57,50334000
23,17428589;-70,17831000
23,22196960;-55,82164000
23,26965332;-53,60407000
23,31733704;-54,18859000
23,36502075;-54,17183000
23,41270447;-64,96683000
23,46038818;-54,70827000
23,50807190;-53,39017000
23,55575562;-54,11037000
23,60343933;-55,88950000
23,65112305;-57,64170000
23,69880676;-58,70256000
23,74649048;-61,03470000
23,79417419;-52,43787000
23,84185791;-50,80376000
23,88954163;-51,79813000
23,93722534;-53,60494000
23,98490906;-53,69093000
24,03259277;-53,04825000
24,08027649;-51,53064000
24,12796021;-52,44495000
24,17564392;-54,14428000
24,22332764;-58,64998000
24,27101135;-64,32910000
24,31869507;-55,76273000
24,36637878;-53,88992000
24,41406250;-52,39256000
24,46174622;-55,97052000
24,50942993;-60,75587000
24,55711365;-51,56327000
24,60479736;-52,42664000
24,65248108;-54,32693000
24,70016479;-53,39912000
24,74784851;-56,89937000
24,79553223;-58,05113000
24,84321594;-59,28295000
24,89089966;-63,35987000
24,93858337;-61,86096000
24,98626709;-54,05632000
25,03395081;-53,24325000
25,08163452;-57,21969000
25,12931824;-57,79884000
25,17700195;-64,03674000
25,22468567;-55,58926000
25,27236938;-52,06951000
25,32005310;-49,79647000
25,36773682;-47,24271000
25,41542053;-46,30284000
25,46310425;-48,05325000
25,51078796;-50,42096000
25,55847168;-50,19827000
25,60615540;-52,90325000
25,65383911;-64,21291000
25,70152283;-52,92879000
25,74920654;-50,78510000
25,79689026;-50,68517000
25,84457397;-53,27814000
25,89225769;-56,83841000
25,93994141;-50,15063000
25,98762512;-48,33210000
26,03530884;-53,09792000
26,08299255;-59,11089000
26,13067627;-60,32789000
26,17835999;-62,49379000
26,22604370;-54,79874000
26,27372742;-53,29765000
26,32141113;-56,50279000
26,36909485;-67,48724000
26,41677856;-55,00298000
26,46446228;-53,67508000
26,51214600;-51,85276000
26,55982971;-49,45229000
26,60751343;-48,81885000
26,65519714;-52,72465000
26,70288086;-55,96192000
26,75056458;-60,76512000
26,79824829;-56,50646000
26,84593201;-52,05111000
26,89361572;-50,68664000
26,94129944;-52,24889000
26,98898315;-62,76411000
27,03666687;-57,38000000
27,08435059;-55,93265000
27,13203430;-65,11271000
27,17971802;-54,86359000
27,22740173;-53,36476000
27,27508545;-57,30639000
27,32276917;-53,47417000
27,37045288;-53,40904000
27,41813660;-57,97565000
27,46582031;-59,32821000
27,51350403;-58,24757000
27,56118774;-60,65124000
27,60887146;-53,65471000
27,65655518;-51,51449000
27,70423889;-56,68881000
27,75192261;-58,54422000
27,79960632;-57,06785000
27,84729004;-60,67999000
27,89497375;-58,57748000
27,94265747;-55,54853000
27,99034119;-54,31908000
