"Frequency[kHz]","Channel[dBu]"
36.81182861,-62.91231000
36.85951233,-66.26944000
36.90719604,-58.31160000
36.95487976,-55.14515000
37.00256348,-55.85019000
37.05024719,-57.29326000
37.09793091,-59.62205000
37.14561462,-58.06668000
37.19329834,-55.23943000
37.24098206,-53.16013000
37.28866577,-53.15074000
37.33634949,-58.96733000
37.38403320,-70.15465000
37.43171692,-75.77714000
37.47940063,-64.78635000
37.52708435,-60.57497000
37.57476807,-58.20991000
37.62245178,-57.78363000
37.67013550,-55.65479000
37.71781921,-53.22269000
37.76550293,-55.74667000
37.81318665,-61.39801000
37.86087036,-58.37763000
37.90855408,-64.86052000
37.95623779,-56.43565000
38.00392151,-57.92291000
38.05160522,-60.85788000
38.09928894,-73.46513000
38.14697266,-63.58517000
38.19465637,-60.48944000
38.24234009,-61.42061000
38.29002380,-79.09014000
38.33770752,-61.93855000
38.38539124,-61.60003000
38.43307495,-53.29840000
38.48075867,-54.42609000
38.52844238,-58.69678000
38.57612610,-54.52235000
38.62380981,-61.53196000
38.67149353,-54.81789000
38.71917725,-53.93793000
38.76686096,-56.30345000
38.81454468,-58.55671000
38.86222839,-64.18272000
38.90991211,-65.68908000
38.95759583,-59.12259000
39.00527954,-55.80699000
39.05296326,-57.01904000
39.10064697,-60.96432000
39.14833069,-68.94539000
39.19601440,-62.88121000
39.24369812,-59.80348000
39.29138184,-52.55408000
39.33906555,-50.15930000
39.38674927,-52.28307000
39.43443298,-58.01435000
39.48211670,-69.67042000
39.52980042,-63.32483000
39.57748413,-56.81372000
39.62516785,-67.70553000
39.67285156,-57.57622000
39.72053528,-54.23008000
39.76821899,-60.17041000
39.81590271,-63.44400000
39.86358643,-56.54679000
39.91127014,-54.84461000
39.95895386,-55.34042000
40.00663757,-58.50156000
40.05432129,-61.65186000
40.10200500,-53.31247000
40.14968872,-51.30589000
40.19737244,-55.53840000
40.24505615,-52.59201000
40.29273987,-52.38760000
40.34042358,-53.73605000
40.38810730,-54.20996000
40.43579102,-54.61963000
40.48347473,-57.33029000
40.53115845,-58.85777000
40.57884216,-54.85812000
40.62652588,-57.78142000
40.67420959,-65.84734000
40.72189331,-63.87830000
40.76957703,-60.16512000
40.81726074,-57.49948000
40.86494446,-61.42527000
40.91262817,-69.08144000
40.96031189,-60.44116000
41.00799561,-61.03731000
41.05567932,-76.02460000
41.10336304,-63.30909000
41.15104675,-60.89297000
41.19873047,-65.00677000
41.24641418,-61.50178000
41.29409790,-58.97361000
41.34178162,-66.60856000
41.38946533,-58.56567000
41.43714905,-55.69556000
41.48483276,-58.36203000
41.53251648,-60.13488000
41.58020020,-58.05750000
41.62788391,-71.06778000
41.67556763,-59.64343000
41.72325134,-54.14871000
41.77093506,-58.02845000
41.81861877,-56.04688000
41.86630249,-52.05211000
41.91398621,-53.22442000
41.96166992,-55.32371000
42.00935364,-62.18549000
42.05703735,-58.32475000
42.10472107,-61.10385000
42.15240479,-59.71263000
42.20008850,-57.86971000
42.24777222,-53.13184000
42.29545593,-52.16766000
42.34313965,-53.29685000
42.39082336,-58.20686000
42.43850708,-58.45552000
42.48619080,-60.72318000
42.53387451,-66.04965000
42.58155823,-56.65177000
42.62924194,-55.11251000
42.67692566,-58.61965000
42.72460938,-60.11562000
42.77229309,-60.46749000
42.81997681,-56.65701000
42.86766052,-54.07959000
42.91534424,-55.38689000
42.96302795,-55.80894000
43.01071167,-52.24573000
43.05839539,-49.50934000
43.10607910,-51.67565000
43.15376282,-55.97762000
43.20144653,-51.92249000
43.24913025,-51.39106000
43.29681396,-53.09103000
43.34449768,-57.26031000
43.39218140,-56.76540000
43.43986511,-56.34457000
43.48754883,-69.49813000
43.53523254,-70.98381000
43.58291626,-56.57693000
43.63059998,-55.78929000
43.67828369,-60.59667000
43.72596741,-60.09514000
43.77365112,-60.96386000
43.82133484,-59.86042000
43.86901855,-61.88381000
43.91670227,-58.08006000
43.96438599,-54.34546000
44.01206970,-57.63973000
44.05975342,-50.22501000
44.10743713,-51.03346000
44.15512085,-64.12512000
44.20280457,-62.52555000
44.25048828,-61.36323000
44.29817200,-52.27919000
44.34585571,-50.79140000
44.39353943,-51.62965000
44.44122314,-55.89642000
44.48890686,-64.49273000
44.53659058,-63.54788000
44.58427429,-59.55075000
44.63195801,-63.17626000
44.67964172,-76.14999000
44.72732544,-59.17183000
44.77500916,-55.75154000
44.82269287,-57.12253000
44.87037659,-56.75295000
44.91806030,-58.09750000
44.96574402,-54.66908000
45.01342773,-53.20513000
45.06111145,-57.54774000
45.10879517,-70.17430000
45.15647888,-62.03348000
45.20416260,-65.93463000
45.25184631,-62.87534000
45.29953003,-53.58788000
45.34721375,-51.57863000
45.39489746,-54.96143000
45.44258118,-75.68807000
45.49026489,-57.79288000
45.53794861,-59.53713000
45.58563232,-67.81918000
45.63331604,-62.93918000
45.68099976,-58.44417000
45.72868347,-57.10030000
45.77636719,-57.18634000
45.82405090,-59.28453000
45.87173462,-58.46857000
45.91941833,-57.20860000
45.96710205,-59.24690000
46.01478577,-55.24619000
46.06246948,-53.64950000
46.11015320,-59.50470000
46.15783691,-58.45949000
46.20552063,-54.04532000
46.25320435,-58.48976000
46.30088806,-73.60473000
46.34857178,-64.51530000
46.39625549,-65.88095000
46.44393921,-64.02909000
46.49162292,-55.99786000
46.53930664,-61.70400000
46.58699036,-62.58780000
46.63467407,-66.90450000
46.68235779,-56.21845000
46.73004150,-54.84230000
46.77772522,-65.40031000
46.82540894,-65.99921000
46.87309265,-60.56685000
46.92077637,-56.21821000
46.96846008,-55.87859000
47.01614380,-55.65897000
47.06382751,-56.32588000
47.11151123,-68.78410000
