"Time[ms]","Channel[V]"
0.19338099,-2.13019200
0.19594099,-1.95379500
0.19850099,-1.95379500
0.20106099,-1.77739800
0.20362099,-1.77739800
0.20618099,-1.77739800
0.20874099,-1.60100100
0.21130099,-1.60100100
0.21386099,-1.42521400
0.21642099,-1.42521400
0.21898099,-1.24881700
0.22154099,-1.24881700
0.22410099,-1.07242000
0.22666099,-0.89602350
0.22922099,-0.89602350
0.23178099,-0.72023680
0.23434099,-0.72023680
0.23690099,-0.54383980
0.23946099,-0.54383980
0.24202099,-0.36744280
0.24458099,-0.36744280
0.24714099,-0.19104590
0.24970099,-0.19104590
0.25226099,-0.01525925
0.25482098,0.16052740
0.25738098,0.33692430
0.25994098,0.33692430
0.26250098,0.33692430
0.26506098,0.68971830
0.26762098,0.68971830
0.27018098,0.86550490
0.27274098,0.86550490
0.27530098,1.04190200
0.27786098,1.21829900
0.28042098,1.21829900
0.28298098,1.39469600
0.28554098,1.57048200
0.28810098,1.74687900
0.29066098,1.74687900
0.29322098,1.74687900
0.29578098,1.92327600
0.29834098,2.09967400
0.30090098,2.09967400
0.30346098,2.27546000
0.30602098,2.45185700
0.30858098,2.45185700
0.31114098,2.62825400
0.31370098,2.62825400
0.31626098,2.80465100
0.31882098,2.98043800
0.32138098,2.98043800
0.32394098,3.15683500
0.32650098,3.15683500
0.32906098,3.33323200
0.33162098,3.33323200
0.33418098,3.33323200
0.33674098,3.50962900
0.33930098,3.68541500
0.34186098,3.68541500
0.34442098,3.86181200
0.34698098,3.86181200
0.34954098,3.86181200
0.35210098,4.03820900
0.35466098,4.03820900
0.35722098,4.03820900
0.35978098,4.21460600
0.36234098,4.21460600
0.36490098,4.39039300
0.36746098,4.39039300
0.37002098,4.39039300
0.37258098,4.39039300
0.37514098,4.39039300
0.37770098,4.56679000
0.38026098,4.56679000
0.38282098,4.56679000
0.38538098,4.56679000
0.38794098,4.74318700
0.39050098,4.74318700
0.39306098,4.74318700
0.39562098,4.56679000
0.39818098,4.74318700
0.40074098,4.74318700
0.40330098,4.74318700
0.40586098,4.74318700
0.40842098,4.56679000
0.41098098,4.56679000
0.41354098,4.74318700
0.41610098,4.56679000
0.41866098,4.74318700
0.42122098,4.56679000
0.42378098,4.56679000
0.42634098,4.56679000
0.42890098,4.39039300
0.43146098,4.39039300
0.43402098,4.39039300
0.43658098,4.39039300
0.43914098,4.39039300
0.44170098,4.21460600
0.44426098,4.21460600
0.44682098,4.03820900
0.44938098,4.03820900
0.45194098,3.86181200
0.45450098,3.86181200
0.45706098,3.86181200
0.45962098,3.86181200
0.46218098,3.68541500
0.46474098,3.68541500
0.46730098,3.50962900
0.46986098,3.50962900
0.47242098,3.33323200
0.47498098,3.15683500
0.47754098,3.15683500
0.48010098,2.98043800
0.48266098,2.98043800
0.48522098,2.80465100
0.48778098,2.62825400
0.49034098,2.62825400
0.49290098,2.45185700
0.49546098,2.45185700
0.49802098,2.27546000
0.50058098,2.09967400
0.50314098,1.92327600
0.50570098,1.74687900
0.50826098,1.74687900
0.51082098,1.57048200
0.51338098,1.57048200
0.51594098,1.21829900
0.51850098,1.21829900
0.52106098,1.04190200
0.52362098,0.86550490
0.52618098,0.68971830
0.52874098,0.68971830
0.53130098,0.33692430
0.53386098,0.33692430
0.53642098,0.16052740
0.53898098,-0.01525925
0.54154098,-0.19104590
0.54410098,-0.19104590
0.54666098,-0.36744280
0.54922098,-0.54383980
0.55178098,-0.72023680
0.55434098,-0.89602350
0.55690098,-0.89602350
0.55946098,-1.07242000
0.56202098,-1.24881700
0.56458098,-1.42521400
0.56714098,-1.60100100
0.56970098,-1.77739800
0.57226098,-1.77739800
0.57482098,-1.95379500
0.57738098,-2.13019200
0.57994098,-2.30597900
0.58250098,-2.48237600
0.58506098,-2.48237600
0.58762098,-2.65877200
0.59018098,-2.83517000
0.59274098,-2.83517000
0.59530098,-3.01095600
0.59786098,-3.18735300
0.60042098,-3.18735300
0.60298098,-3.36375000
0.60554098,-3.54014700
0.60810098,-3.71593400
0.61066098,-3.71593400
0.61322098,-3.89233100
0.61578098,-3.89233100
0.61834098,-4.06872700
0.62090098,-4.24512500
0.62346098,-4.42091100
0.62602098,-4.42091100
0.62858098,-4.42091100
0.63114098,-4.77370500
0.63370098,-4.77370500
0.63626098,-4.77370500
0.63882098,-4.95010200
0.64138098,-4.95010200
0.64394098,-4.95010200
0.64650098,-5.12588900
0.64906098,-5.12588900
0.65162098,-5.30228600
0.65418098,-5.30228600
0.65674098,-5.30228600
0.65930098,-5.47868300
0.66186098,-5.47868300
0.66442098,-5.47868300
0.66698098,-5.47868300
0.66954098,-5.47868300
0.67210098,-5.65508000
0.67466098,-5.65508000
0.67722098,-5.83086600
0.67978098,-5.83086600
0.68234098,-5.65508000
0.68490098,-5.83086600
0.68746098,-5.83086600
0.69002098,-5.83086600
0.69258098,-5.83086600
0.69514098,-5.83086600
0.69770098,-5.83086600
0.70026098,-5.83086600
0.70282098,-5.83086600
0.70538098,-5.83086600
0.70794098,-5.65508000
0.71050098,-5.65508000
0.71306098,-5.65508000
0.71562098,-5.65508000
0.71818098,-5.65508000
0.72074098,-5.47868300
0.72330098,-5.47868300
0.72586098,-5.47868300
0.72842098,-5.30228600
0.73098098,-5.30228600
0.73354098,-5.12588900
0.73610098,-5.30228600
0.73866098,-5.12588900
0.74122098,-4.95010200
0.74378098,-4.95010200
0.74634098,-4.77370500
0.74890098,-4.77370500
0.75146098,-4.59730800
0.75402098,-4.42091100
0.75658098,-4.42091100
0.75914098,-4.24512500
0.76170098,-4.24512500
0.76426098,-4.06872700
0.76682098,-3.89233100
0.76938098,-3.89233100
0.77194098,-3.71593400
0.77450098,-3.71593400
0.77706098,-3.54014700
0.77962098,-3.36375000
0.78218098,-3.18735300
0.78474098,-3.18735300
0.78730098,-3.01095600
0.78986098,-2.83517000
0.79242098,-2.65877200
0.79498098,-2.65877200
0.79754098,-2.48237600
0.80010098,-2.30597900
0.80266098,-2.13019200
0.80522098,-1.95379500
0.80778098,-1.95379500
0.81034098,-1.77739800
0.81290098,-1.60100100
0.81546098,-1.42521400
0.81802098,-1.24881700
0.82058098,-1.07242000
0.82314098,-0.89602350
0.82570098,-0.72023680
0.82826098,-0.54383980
0.83082098,-0.36744280
0.83338098,-0.36744280
0.83594098,-0.19104590
0.83850098,-0.01525925
0.84106098,0.16052740
0.84362098,0.33692430
0.84618098,0.51332130
0.84874098,0.68971830
0.85130098,0.68971830
0.85386098,1.04190200
0.85642098,1.04190200
0.85898098,1.21829900
0.86154098,1.39469600
0.86410098,1.57048200
0.86666098,1.74687900
0.86922098,1.92327600
0.87178098,2.09967400
0.87434098,2.27546000
0.87690098,2.45185700
0.87946098,2.45185700
0.88202098,2.62825400
0.88458098,2.80465100
0.88714098,2.98043800
0.88970098,3.15683500
0.89226098,3.15683500
0.89482098,3.33323200
0.89738098,3.50962900
0.89994098,3.68541500
0.90250098,3.86181200
0.90506098,3.86181200
0.90762098,3.86181200
0.91018098,4.03820900
0.91274098,4.21460600
0.91530098,4.39039300
