X	Y
1614	181.333
1615	180.667
1616	181.667
1617	182.583
1618	182.581
1619	183.333
1620	183.333
1621	184.333
1622	185.333
1623	183.902
1624	184.900
1625	185.667
1626	185.667
1627	185.333
1628	185.558
1629	186.889
1630	187.886
1631	188.551
1632	188.763
1633	190.213
1634	192.000
1635	193.000
1636	194.000
1637	195.333
1638	195.201
1639	196.000
1640	196.000
1641	196.333
1642	196.333
1643	197.333
1644	198.333
1645	200.000
1646	200.000
1647	200.667
1648	200.667
1649	200.491
1650	200.667
1651	201.667
1652	201.835
1653	202.667
1654	203.667
1655	203.667
1656	203.667
1657	204.667
1658	204.667
1659	204.667
1660	204.667
1661	204.667
1662	204.667
1663	205.714
1664	205.667
1665	207.000
1666	207.000
1667	208.000
1668	208.000
1669	208.871
1670	209.000
1671	209.667
1672	209.667
1673	210.000
1674	210.000
1675	211.000
1676	211.000
1677	212.000
1678	212.000
1679	212.000
1680	212.896
1681	213.000
1682	213.000
1683	213.000
1684	213.000
1685	213.092
1686	214.000
1687	213.000
1688	213.915
1689	214.000
1690	214.000
1691	214.333
1692	214.333
1693	214.333
1694	214.333
1695	215.333
1696	215.333
1697	215.333
1698	215.395
1699	215.393
1700	216.333
1701	216.333
1702	216.333
1703	216.333
1704	216.333
1705	216.333
1706	216.333
1707	216.333
1708	216.333
1709	217.333
1710	217.333
1711	217.333
1712	217.000
1713	218.000
1714	217.667
1715	217.667
1716	217.667
1717	216.667
1718	216.667
1719	217.333
1720	217.333
1721	217.333
1722	217.333
1723	217.333
1724	217.333
1725	217.333
1726	217.333
1727	217.333
1728	217.333
1729	216.333
1730	216.333
1731	216.667
1732	216.667
1733	216.667
1734	216.667
1735	215.667
1736	215.667
1737	215.667
1738	215.667
1739	215.667
1740	215.667
1741	215.667
1742	214.707
1743	213.000
1744	213.000
1745	212.667
1746	212.667
1747	212.667
1748	211.667
1749	211.667
1750	211.667
1751	210.667
1752	210.667
1753	210.066
1754	210.000
1755	209.000
1756	209.000
1757	208.000
1758	208.000
1759	208.333
1760	208.333
1761	207.333
1762	206.333
1763	205.333
1764	205.333
1765	205.333
1766	204.333
1767	204.333
1768	203.434
1769	203.333
1770	202.333
1771	202.333
1772	201.333
1773	200.221
1774	199.333
1775	199.333
1776	199.333
1777	198.667
1778	198.667
1779	198.667
1780	198.667
1781	197.667
1782	197.667
1783	196.757
1784	195.804
1785	194.807
1786	194.667
1787	194.333
1788	194.333
1789	193.333
1790	192.333
1791	191.000
1792	190.156
1793	190.000
1794	190.000
1795	188.667
1796	187.832
1797	187.667
1798	187.667
1799	187.000
1800	187.000
1801	187.000
1802	186.179
1803	186.667
1804	185.667
1805	185.480
1806	183.667
1807	183.333
1808	183.333
1809	183.138
1810	182.333
1811	181.667
1812	181.464
1813	180.667
1814	180.667
1815	179.667
1816	179.667
1817	178.667
1818	177.883
1819	177.333
1820	177.333
1821	177.333
1822	177.333
1823	177.895
1824	177.897
1825	177.899
1826	178.667
1827	179.667
1828	180.427
1829	179.667
1830	179.667
1831	180.667
1832	181.418
1833	180.667
1834	180.667
1835	180.333
1836	180.333
1837	180.333
1838	180.333
1839	181.333
1840	181.333
1841	181.333
1842	181.333
1843	182.333
1844	182.333
1845	182.333
1846	182.333
1847	182.333
1848	182.333
1849	182.333
1850	183.043
1851	184.333
1852	185.333
1853	185.369
1854	185.667
1855	186.333
1856	187.333
1857	187.667
1858	187.976
1859	188.355
1860	188.667
1861	190.350
1862	191.242
1863	192.000
1864	193.000
1865	193.000
1866	194.000
1867	194.000
1868	194.000
1869	195.000
1870	196.000
1871	196.000
1872	197.000
1873	197.333
1874	198.333
1875	199.000
1876	199.000
1877	199.667
1878	200.667
1879	202.025
1880	202.027
1881	203.667
1882	204.667
1883	205.667
1884	205.667
1885	206.667
1886	206.667
1887	206.667
1888	206.667
1889	207.667
1890	207.333
1891	208.000
1892	208.000
1893	209.000
1894	210.000
1895	210.798
1896	210.667
1897	210.667
1898	210.667
1899	210.333
1900	210.740
1901	211.000
1902	211.000
1903	210.253
1904	210.667
1905	211.000
1906	211.579
1907	212.000
1908	213.000
1909	213.000
1910	214.000
1911	214.000
1912	214.000
1913	214.000
1914	214.000
1915	214.333
1916	214.333
1917	214.333
1918	214.333
1919	214.667
1920	214.667
1921	216.333
1922	216.333
1923	217.333
1924	216.871
1925	216.869
1926	216.866
1927	216.333
1928	216.333
1929	216.333
1930	216.333
1931	216.333
1932	216.814
1933	217.817
1934	217.819
1935	218.333
1936	218.333
1937	218.333
1938	218.333
1939	217.333
1940	217.333
1941	218.333
1942	218.333
1943	217.333
1944	217.333
1945	217.333
1946	217.333
1947	217.333
1948	217.333
1949	217.333
1950	217.333
1951	217.333
1952	217.333
1953	217.804
1954	216.333
1955	216.333
1956	216.333
1957	216.333
1958	214.667
1959	214.667
1960	214.333
1961	213.785
1962	212.783
1963	211.781
1964	211.333
1965	210.333
1966	209.774
1967	210.105
1968	209.667
1969	209.667
1970	209.667
1971	209.524
1972	209.093
1973	209.000
1974	209.000
1975	208.667
1976	208.667
1977	209.000
1978	208.000
1979	208.333
1980	208.333
1981	207.333
1982	207.333
1983	206.333
1984	205.333
1985	204.333
1986	204.333
1987	203.667
1988	202.667
1989	203.667
1990	202.667
1991	203.333
1992	202.953
1993	202.333
1994	201.333
1995	199.333
1996	198.333
1997	198.667
1998	197.667
1999	197.333
2000	196.546
2001	194.333
2002	194.333
2003	193.688
2004	193.333
2005	193.000
2006	192.000
2007	192.000
2008	191.000
2009	190.227
2010	188.338
2011	187.003
2012	184.890
2013	183.996
2014	183.662
2015	183.333
2016	183.333
2017	183.000
2018	183.000
2019	183.333
2020	183.333
2021	183.333
2022	183.333
2023	183.333
2024	183.333
2025	183.697
2026	184.000
2027	184.000
2028	184.704
2029	183.706
2030	184.000
2031	181.333
2032	182.046
2033	182.048
2034	182.051
2035	181.333
2036	181.333
2037	182.058
2038	181.787
2039	183.062
2040	183.065
2041	182.067
2042	181.333
2043	182.333
2044	182.333
2045	182.333
2046	182.333
2047	181.586
2048	182.333
2049	182.333
2050	183.088
2051	183.090
2052	182.333
2053	184.095
2054	182.570
2055	183.866
2056	183.102
2057	182.896
2058	182.818
2059	182.000
2060	182.000
2061	182.447
2062	182.449
2063	183.451
2064	184.454
2065	186.000
2066	187.792
2067	189.127
2068	190.537
2069	192.333
2070	194.134
2071	193.333
2072	194.333
2073	195.333
2074	195.333
2075	195.333
2076	196.333
2077	197.333
2078	198.333
2079	199.178
2080	199.667
2081	201.333
2082	202.333
2083	203.667
2084	204.667
2085	205.000
2086	206.000
2087	205.000
2088	205.000
2089	205.000
2090	206.000
2091	207.667
2092	207.667
2093	208.521
2094	208.333
2095	209.667
2096	209.667
2097	209.667
2098	209.667
2099	209.000
2100	210.000
