Frequency;Channel A
(kHz);(dBu)

30,85136414;-52,68034000
30,89904785;-52,90989000
30,94673157;-49,66850000
30,99441528;-46,50999000
31,04209900;-46,10348000
31,08978271;-47,98598000
31,13746643;-49,06905000
31,18515015;-50,08267000
31,23283386;-52,46044000
31,28051758;-56,32572000
31,32820129;-58,36786000
31,37588501;-60,59784000
31,42356873;-68,57736000
31,47125244;-65,24557000
31,51893616;-60,20569000
31,56661987;-59,60400000
31,61430359;-59,50252000
31,66198730;-54,43010000
31,70967102;-65,76770000
31,75735474;-60,42007000
31,80503845;-53,43926000
31,85272217;-51,46768000
31,90040588;-53,81408000
31,94808960;-58,32043000
31,99577332;-68,47993000
32,04345703;-59,38168000
32,09114075;-62,04452000
32,13882446;-58,99595000
32,18650818;-51,40921000
32,23419189;-49,77253000
32,28187561;-50,68980000
32,32955933;-54,06504000
32,37724304;-59,10919000
32,42492676;-53,82552000
32,47261047;-50,22777000
32,52029419;-50,05967000
32,56797791;-52,16746000
32,61566162;-58,91868000
32,66334534;-67,02619000
32,71102905;-60,20250000
32,75871277;-56,12415000
32,80639648;-65,48627000
32,85408020;-59,89889000
32,90176392;-63,77238000
32,94944763;-62,37818000
32,99713135;-67,20184000
33,04481506;-65,55719000
33,09249878;-60,86388000
33,14018250;-60,53112000
33,18786621;-84,32037000
33,23554993;-59,17772000
33,28323364;-56,92878000
33,33091736;-56,26000000
33,37860107;-53,05946000
33,42628479;-49,98697000
33,47396851;-50,74348000
33,52165222;-57,55966000
33,56933594;-53,23341000
33,61701965;-51,02997000
33,66470337;-56,52386000
33,71238708;-55,44159000
33,76007080;-59,76924000
33,80775452;-57,58864000
33,85543823;-62,24264000
33,90312195;-66,80218000
33,95080566;-60,67681000
33,99848938;-59,62865000
34,04617310;-59,30587000
34,09385681;-56,75603000
34,14154053;-52,43365000
34,18922424;-56,97953000
34,23690796;-56,60049000
34,28459167;-55,82851000
34,33227539;-57,40856000
34,37995911;-60,85865000
34,42764282;-57,44214000
34,47532654;-65,02663000
34,52301025;-50,51605000
