"Frequency[kHz]","Channel A[dBu]"
20.69473267,-70.85311000
20.74241638,-63.12007000
20.79010010,-54.36134000
20.83778381,-63.86279000
20.88546753,-61.94746000
20.93315125,-67.58325000
20.98083496,-63.99294000
21.02851868,-64.44665000
21.07620239,-65.81767000
21.12388611,-71.71909000
21.17156982,-56.54493000
21.21925354,-66.79107000
21.26693726,-63.06384000
21.31462097,-62.27982000
21.36230469,-66.42198000
21.40998840,-64.33634000
21.45767212,-57.90927000
21.50535583,-61.96138000
21.55303955,-56.36757000
21.60072327,-60.12137000
21.64840698,-64.25788000
21.69609070,-59.19587000
21.74377441,-64.10172000
21.79145813,-74.33537000
21.83914185,-63.53962000
21.88682556,-80.55259000
21.93450928,-55.73745000
21.98219299,-63.27872000
22.02987671,-56.28181000
22.07756042,-60.06224000
22.12524414,-59.67022000
22.17292786,-54.21550000
22.22061157,-62.66385000
22.26829529,-62.24551000
22.31597900,-60.42233000
22.36366272,-65.88058000
22.41134644,-66.05286000
22.45903015,-60.58587000
22.50671387,-69.55853000
22.55439758,-64.83270000
22.60208130,-55.52451000
22.64976501,-61.40485000
22.69744873,-57.97329000
22.74513245,-68.01895000
22.79281616,-56.61961000
22.84049988,-60.10094000
22.88818359,-61.24866000
22.93586731,-60.14172000
22.98355103,-57.80542000
23.03123474,-65.80225000
23.07891846,-63.00979000
23.12660217,-58.80955000
23.17428589,-57.18678000
23.22196960,-65.89149000
23.26965332,-65.36614000
23.31733704,-72.64561000
23.36502075,-62.60683000
23.41270447,-77.91945000
23.46038818,-59.13533000
23.50807190,-62.08768000
23.55575562,-63.61662000
23.60343933,-60.88302000
23.65112305,-66.05138000
23.69880676,-56.42062000
23.74649048,-59.74850000
23.79417419,-64.09521000
23.84185791,-60.89188000
23.88954163,-54.84185000
23.93722534,-53.10854000
23.98490906,-59.99397000
24.03259277,-55.46072000
24.08027649,-61.43854000
24.12796021,-56.76083000
24.17564392,-60.46758000
24.22332764,-63.19669000
24.27101135,-67.49211000
24.31869507,-62.76434000
24.36637878,-87.15549000
24.41406250,-59.46568000
24.46174622,-65.59203000
24.50942993,-76.41343000
24.55711365,-60.29543000
24.60479736,-57.19257000
24.65248108,-58.48442000
24.70016479,-56.88583000
24.74784851,-55.88668000
24.79553223,-67.59991000
24.84321594,-63.08626000
24.89089966,-61.12400000
24.93858337,-66.71548000
24.98626709,-62.52272000
25.03395081,-63.15017000
25.08163452,-60.06005000
25.12931824,-61.23362000
25.17700195,-63.96700000
25.22468567,-61.84401000
25.27236938,-66.44359000
25.32005310,-70.15384000
25.36773682,-57.86490000
25.41542053,-58.08422000
25.46310425,-64.09209000
25.51078796,-64.71974000
25.55847168,-53.61427000
25.60615540,-52.14495000
25.65383911,-50.86989000
25.70152283,-57.13515000
25.74920654,-59.45990000
25.79689026,-66.62689000
25.84457397,-68.35506000
25.89225769,-58.93538000
25.93994141,-59.57466000
25.98762512,-52.65411000
26.03530884,-56.98978000
26.08299255,-56.39358000
26.13067627,-68.55467000
26.17835999,-59.59621000
26.22604370,-69.09608000
26.27372742,-62.89484000
26.32141113,-68.06764000
26.36909485,-63.46645000
26.41677856,-56.20963000
26.46446228,-60.26455000
26.51214600,-100.56740000
26.55982971,-67.93057000
26.60751343,-65.89071000
26.65519714,-63.51469000
26.70288086,-57.98560000
26.75056458,-67.27924000
26.79824829,-64.39502000
26.84593201,-54.55502000
26.89361572,-55.75809000
26.94129944,-53.57048000
26.98898315,-56.03729000
27.03666687,-60.99172000
27.08435059,-65.59948000
27.13203430,-59.13988000
27.17971802,-65.67210000
27.22740173,-59.74476000
27.27508545,-64.88947000
27.32276917,-72.03446000
27.37045288,-60.88747000
27.41813660,-66.29398000
27.46582031,-55.80552000
27.51350403,-57.84430000
27.56118774,-60.80764000
27.60887146,-58.71399000
27.65655518,-67.52753000
27.70423889,-63.04119000
27.75192261,-61.97027000
27.79960632,-60.65118000
27.84729004,-65.59538000
27.89497375,-58.11567000
27.94265747,-58.54053000
27.99034119,-60.55956000
28.03802490,-57.27549000
28.08570862,-58.72628000
28.13339233,-60.88876000
28.18107605,-60.80292000
28.22875977,-62.40550000
28.27644348,-67.42000000
28.32412720,-61.69926000
28.37181091,-58.55533000
28.41949463,-64.51752000
28.46717834,-58.60426000
28.51486206,-56.54069000
28.56254578,-69.94029000
28.61022949,-67.30981000
28.65791321,-60.58443000
28.70559692,-64.26006000
28.75328064,-58.59011000
28.80096436,-69.67411000
28.84864807,-60.02998000
28.89633179,-63.43998000
28.94401550,-57.08347000
28.99169922,-65.78952000
29.03938293,-61.70454000
29.08706665,-70.35884000
29.13475037,-62.93253000
29.18243408,-57.49669000
29.23011780,-54.23335000
29.27780151,-66.07961000
29.32548523,-70.13117000
29.37316895,-57.46294000
29.42085266,-62.93957000
29.46853638,-61.17084000
29.51622009,-64.15216000
29.56390381,-69.29192000
29.61158752,-61.99950000
29.65927124,-70.29627000
29.70695496,-57.69078000
29.75463867,-59.60811000
29.80232239,-60.35224000
29.85000610,-63.08955000
29.89768982,-63.58534000
29.94537354,-55.69923000
29.99305725,-58.90198000
30.04074097,-56.50465000
30.08842468,-55.88145000
30.13610840,-66.34141000
30.18379211,-67.83205000
30.23147583,-73.54130000
30.27915955,-63.03754000
30.32684326,-60.72458000
30.37452698,-63.14346000
30.42221069,-63.38882000
30.46989441,-54.54927000
30.51757813,-54.93153000
30.56526184,-75.82001000
30.61294556,-71.50478000
30.66062927,-58.67378000
30.70831299,-63.66713000
30.75599670,-57.63309000
30.80368042,-65.20316000
30.85136414,-60.89530000
30.89904785,-58.78090000
30.94673157,-57.58987000
30.99441528,-60.24414000
31.04209900,-55.94370000
31.08978271,-59.45663000
31.13746643,-72.62009000
31.18515015,-53.53632000
31.23283386,-56.88931000
31.28051758,-64.57366000
31.32820129,-60.32437000
31.37588501,-56.46283000
31.42356873,-58.48925000
31.47125244,-64.50687000
31.51893616,-62.69985000
31.56661987,-59.46264000
31.61430359,-57.75858000
31.66198730,-55.32665000
31.70967102,-60.37225000
31.75735474,-61.49099000
31.80503845,-63.67081000
31.85272217,-60.92684000
31.90040588,-57.47529000
31.94808960,-63.72133000
31.99577332,-72.27937000
32.04345703,-60.01588000
32.09114075,-60.58428000
32.13882446,-87.33414000
32.18650818,-63.16122000
32.23419189,-57.75077000
32.28187561,-70.79638000
32.32955933,-58.28343000
32.37724304,-59.73414000
32.42492676,-60.81909000
32.47261047,-62.55260000
32.52029419,-65.14547000
32.56797791,-59.76955000
32.61566162,-74.18431000
32.66334534,-63.47465000
32.71102905,-61.46576000
32.75871277,-63.76558000
32.80639648,-61.50953000
32.85408020,-58.89230000
32.90176392,-59.81100000
32.94944763,-59.13002000
32.99713135,-63.18113000
33.04481506,-61.62292000
33.09249878,-65.09395000
33.14018250,-62.73798000
33.18786621,-63.77348000
33.23554993,-60.09552000
33.28323364,-61.09684000
33.33091736,-63.34709000
33.37860107,-60.03086000
33.42628479,-56.49947000
33.47396851,-61.08995000
33.52165222,-61.82558000
33.56933594,-71.02366000
33.61701965,-63.73875000
33.66470337,-64.67424000
33.71238708,-62.53365000
33.76007080,-62.05209000
33.80775452,-67.54358000
33.85543823,-61.83192000
33.90312195,-66.63464000
33.95080566,-69.73335000
33.99848938,-65.93302000
34.04617310,-58.20824000
34.09385681,-59.31190000
34.14154053,-64.68959000
34.18922424,-69.56764000
34.23690796,-60.26154000
34.28459167,-63.75690000
34.33227539,-59.83348000
34.37995911,-69.08742000
34.42764282,-62.57450000
34.47532654,-63.59969000
34.52301025,-57.58916000
34.57069397,-64.06691000
34.61837769,-64.36752000
34.66606140,-59.43719000
34.71374512,-67.44317000
34.76142883,-62.68081000
34.80911255,-64.66547000
34.85679626,-59.58502000
34.90447998,-63.01307000
34.95216370,-83.64487000
34.99984741,-68.63661000
35.04753113,-59.67037000
35.09521484,-62.07313000
35.14289856,-62.37054000
35.19058228,-55.17490000
35.23826599,-63.38094000
35.28594971,-66.95612000
35.33363342,-63.27758000
35.38131714,-66.64330000
35.42900085,-79.22751000
35.47668457,-74.96236000
35.52436829,-58.42746000
35.57205200,-58.68930000
35.61973572,-68.86313000
35.66741943,-58.07286000
35.71510315,-57.45676000
35.76278687,-66.06625000
35.81047058,-63.67564000
35.85815430,-64.03012000
35.90583801,-73.78294000
35.95352173,-65.70894000
36.00120544,-67.98343000
36.04888916,-64.53357000
36.09657288,-61.84417000
36.14425659,-68.97182000
36.19194031,-74.14031000
36.23962402,-66.26150000
36.28730774,-67.42070000
36.33499146,-66.57045000
36.38267517,-73.30823000
36.43035889,-63.42318000
36.47804260,-54.87164000
36.52572632,-53.79980000
36.57341003,-52.89854000
36.62109375,-55.10428000
36.66877747,-64.64730000
36.71646118,-65.02409000
36.76414490,-59.16965000
36.81182861,-65.18803000
36.85951233,-56.71626000
36.90719604,-57.68385000
36.95487976,-57.47810000
37.00256348,-62.30674000
37.05024719,-57.44150000
37.09793091,-53.51683000
37.14561462,-54.80418000
37.19329834,-54.26649000
37.24098206,-55.25355000
37.28866577,-63.55884000
37.33634949,-59.87254000
37.38403320,-64.88775000
37.43171692,-59.54510000
37.47940063,-76.65738000
37.52708435,-57.59521000
37.57476807,-60.81074000
37.62245178,-66.35284000
37.67013550,-60.52335000
37.71781921,-56.97467000
37.76550293,-62.53977000
37.81318665,-58.69352000
37.86087036,-65.92188000
37.90855408,-60.29934000
37.95623779,-61.91097000
38.00392151,-57.77423000
38.05160522,-70.49171000
38.09928894,-60.88791000
38.14697266,-58.38736000
38.19465637,-58.71719000
38.24234009,-72.43566000
38.29002380,-66.83499000
38.33770752,-73.42093000
38.38539124,-63.18263000
38.43307495,-62.95998000
38.48075867,-60.92169000
38.52844238,-76.89626000
38.57612610,-72.39943000
38.62380981,-61.11819000
38.67149353,-57.72228000
38.71917725,-59.83153000
38.76686096,-62.62413000
38.81454468,-65.38011000
38.86222839,-63.73380000
38.90991211,-64.29350000
38.95759583,-66.95586000
39.00527954,-61.53731000
39.05296326,-67.45451000
39.10064697,-70.53123000
39.14833069,-72.48261000
39.19601440,-60.26856000
39.24369812,-56.12522000
39.29138184,-61.06672000
39.33906555,-58.98788000
39.38674927,-67.10271000
39.43443298,-75.68315000
39.48211670,-56.15773000
39.52980042,-55.87725000
39.57748413,-66.61851000
39.62516785,-65.03898000
39.67285156,-59.49352000
39.72053528,-55.94793000
39.76821899,-67.29546000
39.81590271,-66.37457000
39.86358643,-56.34046000
39.91127014,-62.97247000
