"Frequency[kHz]","Channel A[dBu]"
28.37181091,-50.95227000
28.41949463,-52.81098000
28.46717834,-54.36296000
28.51486206,-58.63637000
28.56254578,-64.82069000
28.61022949,-58.35310000
28.65791321,-58.05384000
28.70559692,-55.60336000
28.75328064,-63.65539000
28.80096436,-57.45300000
28.84864807,-52.30303000
28.89633179,-53.74002000
28.94401550,-56.00637000
28.99169922,-56.44337000
29.03938293,-59.81254000
29.08706665,-79.18051000
29.13475037,-59.13400000
29.18243408,-57.07743000
29.23011780,-57.39705000
29.27780151,-54.99913000
29.32548523,-56.03270000
29.37316895,-53.94202000
29.42085266,-56.09772000
29.46853638,-66.88757000
29.51622009,-56.99268000
29.56390381,-59.73145000
29.61158752,-78.19566000
29.65927124,-61.15782000
29.70695496,-58.76674000
29.75463867,-65.87836000
29.80232239,-53.73493000
29.85000610,-51.22649000
29.89768982,-54.69297000
29.94537354,-60.40295000
29.99305725,-59.31916000
30.04074097,-57.37981000
30.08842468,-50.17477000
30.13610840,-50.76937000
30.18379211,-57.13905000
30.23147583,-60.02770000
30.27915955,-68.63719000
30.32684326,-56.40236000
30.37452698,-57.90855000
30.42221069,-69.47501000
30.46989441,-55.15423000
30.51757813,-52.69313000
30.56526184,-56.03371000
30.61294556,-59.78408000
30.66062927,-53.75606000
30.70831299,-53.00928000
30.75599670,-55.91337000
30.80368042,-56.42274000
30.85136414,-55.43936000
30.89904785,-60.59008000
30.94673157,-56.26144000
30.99441528,-48.85655000
31.04209900,-46.01274000
31.08978271,-46.96968000
31.13746643,-50.03612000
31.18515015,-53.33042000
31.23283386,-57.00834000
31.28051758,-63.61378000
31.32820129,-58.68723000
31.37588501,-54.99180000
31.42356873,-58.31417000
31.47125244,-59.03681000
31.51893616,-59.05819000
31.56661987,-65.70575000
31.61430359,-59.83646000
31.66198730,-54.84948000
31.70967102,-52.80810000
31.75735474,-55.73352000
31.80503845,-74.13361000
31.85272217,-53.32775000
31.90040588,-49.48341000
31.94808960,-49.55836000
31.99577332,-53.04626000
32.04345703,-51.77135000
32.09114075,-50.26284000
32.13882446,-53.04900000
32.18650818,-64.06284000
32.23419189,-59.29671000
32.28187561,-57.05865000
32.32955933,-54.82812000
32.37724304,-52.56344000
32.42492676,-56.57412000
32.47261047,-57.21508000
32.52029419,-55.80524000
32.56797791,-68.39938000
32.61566162,-55.90934000
32.66334534,-54.42607000
32.71102905,-54.10828000
32.75871277,-60.24635000
32.80639648,-62.48450000
32.85408020,-58.91672000
32.90176392,-56.25797000
32.94944763,-60.51670000
32.99713135,-57.17194000
33.04481506,-52.65186000
33.09249878,-55.84985000
33.14018250,-71.95876000
33.18786621,-62.63156000
33.23554993,-62.64299000
33.28323364,-68.37019000
33.33091736,-82.03889000
33.37860107,-56.59800000
33.42628479,-54.95539000
33.47396851,-62.45776000
33.52165222,-56.19628000
33.56933594,-52.21188000
33.61701965,-52.58678000
33.66470337,-55.73940000
33.71238708,-67.25226000
33.76007080,-88.64269000
33.80775452,-51.97414000
33.85543823,-47.22168000
33.90312195,-48.43742000
33.95080566,-49.23609000
33.99848938,-48.51063000
34.04617310,-48.82993000
34.09385681,-52.71034000
34.14154053,-55.55988000
34.18922424,-57.25479000
34.23690796,-60.97175000
34.28459167,-60.23919000
34.33227539,-57.52102000
34.37995911,-62.91882000
34.42764282,-59.49498000
34.47532654,-58.50298000
34.52301025,-64.09430000
34.57069397,-56.07449000
34.61837769,-52.10527000
34.66606140,-53.75208000
34.71374512,-55.18124000
34.76142883,-55.10363000
34.80911255,-57.93461000
34.85679626,-57.62378000
34.90447998,-57.58568000
34.95216370,-59.35036000
34.99984741,-55.70613000
35.04753113,-54.38164000
35.09521484,-53.06522000
35.14289856,-51.44394000
35.19058228,-52.32813000
35.23826599,-56.30323000
35.28594971,-58.08649000
35.33363342,-53.51578000
35.38131714,-53.85967000
35.42900085,-54.90990000
35.47668457,-55.79616000
35.52436829,-58.07339000
35.57205200,-59.35699000
35.61973572,-59.23363000
35.66741943,-59.63999000
35.71510315,-60.14725000
35.76278687,-49.08052000
35.81047058,-48.20770000
35.85815430,-51.97744000
35.90583801,-58.50869000
35.95352173,-58.71819000
36.00120544,-59.95639000
36.04888916,-55.33242000
36.09657288,-50.09368000
36.14425659,-50.43494000
