Apr 28, 2026  11:10:47 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 28.40,   7.50E-009, 
 28.50,   4.89E-009, 
 28.60,   6.19E-009, 
 28.70,   9.56E-009, 
 28.80,   1.29E-008, 
 28.90,   1.44E-008, 
 29.00,   1.46E-008, 
 29.10,   1.35E-008, 
 29.20,   9.09E-009, 
 29.30,   5.21E-009, 
 29.40,   4.23E-009, 
 29.50,   6.76E-009, 
 29.60,   2.61E-008, 
 29.70,   5.44E-008, 
 29.80,   7.16E-008, 
 29.90,   7.15E-008, 
 30.00,   6.66E-008, 
 30.10,   5.32E-008, 
 30.20,   2.30E-008, 
 30.30,   8.55E-009, 
 30.40,   4.34E-009, 
 30.50,   2.60E-009, 
 30.60,   2.15E-009, 
 30.70,   2.32E-009, 
 30.80,   2.81E-009, 
 30.90,   3.20E-009, 
 31.00,   3.47E-009, 
 31.10,   3.53E-009, 
 31.20,   3.04E-009, 
 31.30,   2.77E-009, 
 31.40,   3.90E-009, 
 31.50,   9.58E-009, 
 31.60,   4.54E-008, 
 31.70,   8.92E-008, 
 31.80,   1.09E-007, 
 31.90,   1.09E-007, 
 32.00,   9.97E-008, 
 32.10,   7.63E-008, 
 32.20,   2.69E-008, 
 32.30,   9.25E-009, 
 32.40,   4.54E-009, 
 32.50,   2.57E-009, 
 32.60,   1.63E-009, 
 32.70,   1.10E-009, 
 32.80,   8.21E-010, 
 32.90,   6.89E-010, 
 33.00,   5.41E-010, 
 33.10,   3.91E-010, 
 33.20,   3.23E-010, 
 33.30,   2.47E-010, 
 33.40,   1.41E-010, 
 33.50,   1.16E-010, 
 33.60,   6.43E-011, 
 33.70,   3.66E-011, 
 33.80,   9.64E-011, 
 33.90,   2.53E-010, 
 34.00,   4.00E-010, 
 34.10,   4.52E-010, 
 34.20,   4.76E-010, 
 34.30,   4.89E-010, 
 34.40,   8.11E-010, 
 34.50,   2.08E-009, 
 34.60,   6.81E-009, 
 34.70,   1.34E-008, 
 34.80,   1.84E-008, 
 34.90,   2.08E-008, 
 35.00,   2.03E-008, 
 35.10,   1.62E-008, 
 35.20,   8.44E-009, 
 35.30,   4.84E-009, 
 35.40,   4.21E-009, 
 35.50,   8.02E-009, 
 35.60,   2.75E-008, 
 35.70,   5.14E-008, 
 35.80,   6.31E-008, 
 35.90,   6.69E-008, 
 36.00,   5.98E-008, 
 36.10,   4.10E-008, 
 36.20,   1.55E-008, 
 36.30,   6.53E-009, 
 36.40,   3.55E-009, 
 36.50,   2.55E-009, 
 36.60,   3.21E-009, 
 36.70,   4.61E-009, 
 36.80,   6.04E-009, 
 36.90,   6.89E-009, 
 37.00,   6.92E-009, 
 37.10,   5.98E-009, 
 37.20,   3.61E-009, 
 37.30,   2.21E-009, 
 37.40,   1.79E-009, 
 37.50,   2.44E-009, 
 37.60,   6.80E-009, 
 37.70,   1.31E-008, 
 37.80,   1.79E-008, 
 37.90,   2.03E-008, 
 38.00,   2.00E-008, 
 38.10,   1.59E-008, 
 38.20,   8.17E-009, 
 38.30,   3.82E-009, 
 38.40,   2.11E-009, 
 38.50,   1.29E-009, 
 38.60,   1.08E-009, 
 38.70,   1.29E-009, 
 38.80,   1.76E-009, 
 38.90,   2.19E-009, 
 39.00,   2.37E-009, 
 39.10,   2.28E-009, 
 39.20,   1.74E-009, 
 39.30,   1.21E-009, 
 39.40,   9.23E-010, 
 39.50,   1.45E-009, 
 39.60,   3.71E-009, 
 39.70,   7.04E-009, 
 39.80,   9.75E-009, 
 39.90,   1.15E-008, 
 40.00,   1.17E-008, 
 40.10,   9.37E-009, 
 40.20,   5.17E-009, 
 40.30,   2.68E-009, 
 40.40,   1.48E-009, 
 40.50,   1.00E-009, 
 40.60,   1.10E-009, 
 40.70,   1.82E-009, 
 40.80,   2.79E-009, 
 40.90,   3.35E-009, 
 41.00,   3.78E-009, 
 41.10,   3.77E-009, 
 41.20,   2.86E-009, 
 41.30,   1.70E-009, 
 41.40,   1.18E-009, 
 41.50,   9.90E-010, 
 41.60,   1.27E-009, 
 41.70,   1.99E-009, 
 41.80,   2.90E-009, 
 41.90,   3.63E-009, 
 42.00,   4.12E-009, 
 42.10,   3.99E-009, 
 42.20,   2.89E-009, 
 42.30,   1.69E-009, 
 42.40,   1.17E-009, 
 42.50,   1.11E-009, 
 42.60,   2.10E-009, 
 42.70,   4.37E-009, 
 42.80,   6.91E-009, 
 42.90,   8.75E-009, 
 43.00,   1.01E-008, 
 43.10,   9.70E-009, 
 43.20,   6.86E-009, 
 43.30,   4.38E-009, 
 43.40,   3.80E-009, 
 43.50,   5.69E-009, 
 43.60,   1.93E-008, 
 43.70,   4.28E-008, 
 43.80,   5.86E-008, 
 43.90,   6.43E-008, 
 44.00,   6.27E-008, 
 44.10,   4.41E-008, 
 44.20,   1.77E-008, 
 44.30,   7.19E-009, 
 44.40,   3.75E-009, 
 44.50,   2.30E-009, 
 44.60,   1.83E-009, 
 44.70,   2.06E-009, 
 44.80,   2.41E-009, 
 44.90,   2.66E-009, 
 45.00,   2.94E-009, 
 45.10,   2.88E-009, 
 45.20,   2.05E-009, 
 45.30,   1.17E-009, 
 45.40,   7.01E-010, 
 45.50,   3.79E-010, 
 45.60,   2.99E-010, 
 45.70,   3.86E-010, 
 45.80,   3.59E-010, 
 45.90,   4.47E-010, 
