"Time","Channel A"
-381.66780391,5.04989767
-381.50780391,5.04989767
-381.34780391,5.04989767
-381.18780391,5.04989767
-381.02780391,5.04989767
-380.86780391,5.04989767
-380.70780391,5.04989767
-380.54780391,5.04989767
-380.38780392,5.04989767
-380.22780392,5.04989767
-380.06780392,5.04989767
-379.90780392,5.04989767
-379.74780392,5.04989767
-379.58780392,5.04989767
-379.42780392,5.04989767
-379.26780392,5.04989767
-379.10780392,5.04989767
-378.94780392,5.04989767
-378.78780392,5.04989767
-378.62780393,5.04989767
-378.46780393,5.04989767
-378.30780393,5.04989767
-378.14780393,5.04989767
-377.98780393,5.04989767
-377.82780393,5.04989767
-377.66780393,5.04989767
-377.50780393,5.04989767
-377.34780393,5.04989767
-377.18780393,5.04989767
-377.02780394,5.04989767
-376.86780394,5.04989767
-376.70780394,5.04989767
-376.54780394,5.04989767
-376.38780394,5.04989767
-376.22780394,5.04989767
-376.06780394,5.04989767
-375.90780394,5.04989767
-375.74780394,5.04989767
-375.58780394,5.04989767
-375.42780395,5.04989767
-375.26780395,5.04989767
-375.10780395,5.04989767
-374.94780395,5.04989767
-374.78780395,5.04989767
-374.62780395,5.04989767
-374.46780395,5.04989767
-374.30780395,5.04989767
-374.14780395,5.04989767
-373.98780395,5.04989767
-373.82780395,5.04989767
-373.66780396,5.04989767
-373.50780396,5.04989767
-373.34780396,5.04989767
-373.18780396,5.04989767
-373.02780396,5.04989767
-372.86780396,5.04989767
-372.70780396,5.04989767
-372.54780396,5.04989767
-372.38780396,5.04989767
-372.22780396,5.04989767
-372.06780397,5.04989767
-371.90780397,5.04989767
-371.74780397,5.04989767
-371.58780397,5.04989767
-371.42780397,5.04989767
-371.26780397,5.04989767
-371.10780397,5.04989767
-370.94780397,5.04989767
-370.78780397,5.04989767
-370.62780397,5.04989767
-370.46780398,5.04989767
-370.30780398,5.04989767
-370.14780398,5.04989767
-369.98780398,5.04989767
-369.82780398,5.04989767
-369.66780398,5.04989767
-369.50780398,5.04989767
-369.34780398,5.04989767
-369.18780398,5.04989767
-369.02780398,5.04989767
-368.86780399,5.04989767
-368.70780399,5.04989767
-368.54780399,5.04989767
-368.38780399,5.04989767
-368.22780399,5.04989767
-368.06780399,5.04989767
-367.90780399,5.04989767
-367.74780399,5.04989767
-367.58780399,5.04989767
-367.42780399,5.04989767
-367.26780399,5.04989767
-367.10780400,5.04989767
-366.94780400,5.04989767
-366.78780400,5.04989767
-366.62780400,5.04989767
-366.46780400,5.04989767
-366.30780400,5.04989767
-366.14780400,5.04989767
-365.98780400,5.04989767
-365.82780400,5.04989767
-365.66780400,5.04989767
-365.50780401,5.04989767
-365.34780401,5.04989767
-365.18780401,5.04989767
-365.02780401,5.04989767
-364.86780401,5.04989767
-364.70780401,5.04989767
-364.54780401,5.04989767
-364.38780401,5.04989767
-364.22780401,5.04989767
-364.06780401,5.04989767
-363.90780402,5.04989767
-363.74780402,5.04989767
-363.58780402,5.04989767
-363.42780402,5.04989767
-363.26780402,5.04989767
-363.10780402,5.04989767
-362.94780402,5.04989767
-362.78780402,5.04989767
-362.62780402,5.04989767
-362.46780402,5.04989767
-362.30780402,5.04989767
-362.14780403,5.04989767
-361.98780403,5.04989767
-361.82780403,5.04989767
-361.66780403,5.04989767
-361.50780403,5.04989767
-361.34780403,5.04989767
-361.18780403,5.04989767
-361.02780403,5.04989767
-360.86780403,5.04989767
-360.70780403,5.04989767
-360.54780404,5.04989767
-360.38780404,5.04989767
-360.22780404,5.04989767
-360.06780404,5.04989767
-359.90780404,5.04989767
-359.74780404,5.04989767
-359.58780404,5.04989767
-359.42780404,5.04989767
-359.26780404,5.04989767
-359.10780404,5.04989767
-358.94780405,5.04989767
-358.78780405,5.04989767
-358.62780405,5.04989767
-358.46780405,5.04989767
-358.30780405,5.04989767
-358.14780405,5.04989767
-357.98780405,5.04989767
-357.82780405,5.04989767
-357.66780405,5.04989767
-357.50780405,5.04989767
-357.34780406,5.04989767
-357.18780406,5.04989767
-357.02780406,5.04989767
-356.86780406,5.04989767
-356.70780406,5.04989767
-356.54780406,5.04989767
-356.38780406,5.04989767
-356.22780406,5.04989767
-356.06780406,5.04989767
-355.90780406,5.04989767
-355.74780406,5.04989767
-355.58780407,5.04989767
-355.42780407,5.04989767
-355.26780407,5.04989767
-355.10780407,5.04989767
-354.94780407,5.04989767
-354.78780407,5.04989767
-354.62780407,5.04989767
-354.46780407,5.04989767
-354.30780407,5.04989767
-354.14780407,5.04989767
-353.98780408,5.04989767
-353.82780408,5.04989767
-353.66780408,5.04989767
-353.50780408,5.04989767
-353.34780408,5.04989767
-353.18780408,5.04989767
-353.02780408,5.04989767
-352.86780408,5.04989767
-352.70780408,5.04989767
-352.54780408,5.04989767
-352.38780409,5.04989767
-352.22780409,5.04989767
-352.06780409,5.04989767
-351.90780409,5.04989767
-351.74780409,5.04989767
-351.58780409,5.04989767
-351.42780409,5.04989767
-351.26780409,5.04989767
-351.10780409,5.04989767
-350.94780409,5.04989767
-350.78780409,5.04989767
-350.62780410,5.04989767
-350.46780410,5.04989767
-350.30780410,5.04989767
-350.14780410,5.04989767
-349.98780410,5.04989767
-349.82780410,5.04989767
-349.66780410,5.04989767
-349.50780410,5.04989767
-349.34780410,5.04989767
-349.18780410,5.04989767
-349.02780411,5.04989767
-348.86780411,5.04989767
-348.70780411,5.04989767
-348.54780411,5.04989767
-348.38780411,5.04989767
-348.22780411,5.04989767
-348.06780411,5.04989767
-347.90780411,5.04989767
-347.74780411,5.04989767
-347.58780411,5.04989767
-347.42780412,5.04989767
-347.26780412,5.04989767
-347.10780412,5.04989767
-346.94780412,5.04989767
-346.78780412,5.04989767
-346.62780412,5.04989767
-346.46780412,5.04989767
-346.30780412,5.04989767
-346.14780412,5.04989767
-345.98780412,5.04989767
-345.82780413,5.04989767
-345.66780413,5.04989767
-345.50780413,5.04989767
-345.34780413,5.04989767
-345.18780413,5.04989767
-345.02780413,5.04989767
-344.86780413,5.04989767
-344.70780413,5.04989767
-344.54780413,5.04989767
-344.38780413,5.04989767
-344.22780413,5.04989767
-344.06780414,5.04989767
-343.90780414,5.04989767
-343.74780414,5.04989767
-343.58780414,5.04989767
-343.42780414,5.04989767
-343.26780414,5.04989767
-343.10780414,5.04989767
-342.94780414,5.04989767
-342.78780414,5.04989767
-342.62780414,5.04989767
-342.46780415,5.04989767
-342.30780415,5.04989767
-342.14780415,5.04989767
-341.98780415,5.04989767
-341.82780415,5.04989767
-341.66780415,5.04989767
-341.50780415,5.04989767
-341.34780415,5.04989767
-341.18780415,5.04989767
-341.02780415,5.04989767
-340.86780416,5.04989767
-340.70780416,5.04989767
-340.54780416,5.04989767
-340.38780416,5.04989767
-340.22780416,5.04989767
-340.06780416,5.04989767
-339.90780416,5.04989767
-339.74780416,5.04989767
-339.58780416,5.04989767
-339.42780416,5.04989767
-339.26780416,5.04989767
-339.10780417,5.04989767
-338.94780417,5.04989767
-338.78780417,5.04989767
-338.62780417,5.04989767
-338.46780417,5.04989767
-338.30780417,5.04989767
-338.14780417,5.04989767
-337.98780417,5.04989767
-337.82780417,5.04989767
-337.66780417,5.04989767
-337.50780418,5.04989767
-337.34780418,5.04989767
-337.18780418,5.04989767
-337.02780418,5.04989767
-336.86780418,5.04989767
-336.70780418,5.04989767
-336.54780418,5.04989767
-336.38780418,5.04989767
-336.22780418,5.04989767
-336.06780418,5.04989767
-335.90780419,5.04989767
-335.74780419,5.04989767
-335.58780419,5.04989767
-335.42780419,5.04989767
-335.26780419,5.04989767
-335.10780419,5.04989767
-334.94780419,5.04989767
-334.78780419,5.04989767
-334.62780419,5.04989767
-334.46780419,5.04989767
-334.30780420,5.04989767
-334.14780420,5.04989767
-333.98780420,5.04989767
-333.82780420,5.04989767
-333.66780420,5.04989767
-333.50780420,5.04989767
-333.34780420,5.04989767
-333.18780420,5.04989767
-333.02780420,5.04989767
-332.86780420,5.04989767
-332.70780420,5.04989767
-332.54780421,5.04989767
-332.38780421,5.04989767
-332.22780421,5.04989767
-332.06780421,5.04989767
-331.90780421,5.04989767
-331.74780421,5.04989767
-331.58780421,5.04989767
-331.42780421,5.04989767
-331.26780421,5.04989767
-331.10780421,5.04989767
-330.94780422,5.04989767
-330.78780422,5.04989767
-330.62780422,5.04989767
-330.46780422,5.04989767
-330.30780422,5.04989767
-330.14780422,5.04989767
-329.98780422,5.04989767
-329.82780422,5.04989767
-329.66780422,5.04989767
-329.50780422,5.04989767
-329.34780423,5.04989767
-329.18780423,5.04989767
-329.02780423,5.04989767
-328.86780423,5.04989767
-328.70780423,5.04989767
-328.54780423,5.04989767
-328.38780423,5.04989767
-328.22780423,5.04989767
-328.06780423,5.04989767
-327.90780423,5.04989767
-327.74780423,5.04989767
-327.58780424,5.04989767
-327.42780424,5.04989767
-327.26780424,5.04989767
-327.10780424,5.04989767
-326.94780424,5.04989767
-326.78780424,5.04989767
-326.62780424,5.04989767
-326.46780424,5.04989767
-326.30780424,5.04989767
-326.14780424,5.04989767
-325.98780425,5.04989767
-325.82780425,5.04989767
-325.66780425,5.04989767
-325.50780425,5.04989767
-325.34780425,5.04989767
-325.18780425,5.04989767
-325.02780425,5.04989767
-324.86780425,5.04989767
-324.70780425,5.04989767
-324.54780425,5.04989767
-324.38780426,5.04989767
-324.22780426,5.04989767
-324.06780426,5.04989767
-323.90780426,5.04989767
-323.74780426,5.04989767
-323.58780426,5.04989767
-323.42780426,5.04989767
-323.26780426,5.04989767
-323.10780426,5.04989767
-322.94780426,5.04989767
-322.78780427,5.04989767
-322.62780427,5.04989767
-322.46780427,5.04989767
-322.30780427,5.04989767
-322.14780427,5.04989767
-321.98780427,5.04989767
-321.82780427,5.04989767
-321.66780427,5.04989767
-321.50780427,5.04989767
-321.34780427,5.04989767
-321.18780427,5.04989767
-321.02780428,5.04989767
-320.86780428,5.04989767
-320.70780428,5.04989767
-320.54780428,5.04989767
-320.38780428,5.04989767
-320.22780428,5.04989767
-320.06780428,5.04989767
-319.90780428,5.04989767
-319.74780428,5.04989767
-319.58780428,5.04989767
-319.42780429,5.04989767
-319.26780429,5.04989767
-319.10780429,5.04989767
-318.94780429,5.04989767
-318.78780429,5.04989767
-318.62780429,5.04989767
-318.46780429,5.04989767
-318.30780429,5.04989767
-318.14780429,5.04989767
-317.98780429,5.04989767
-317.82780430,5.04989767
-317.66780430,5.04989767
-317.50780430,5.04989767
-317.34780430,5.04989767
-317.18780430,5.04989767
-317.02780430,5.04989767
-316.86780430,5.04989767
-316.70780430,5.04989767
-316.54780430,5.04989767
-316.38780430,5.04989767
-316.22780430,5.04989767
-316.06780431,5.04989767
-315.90780431,5.04989767
-315.74780431,5.04989767
-315.58780431,5.04989767
-315.42780431,5.04989767
-315.26780431,5.04989767
-315.10780431,5.04989767
-314.94780431,5.04989767
-314.78780431,5.04989767
-314.62780431,5.04989767
-314.46780432,5.04989767
-314.30780432,5.04989767
-314.14780432,5.04989767
-313.98780432,5.04989767
-313.82780432,5.04989767
-313.66780432,5.04989767
-313.50780432,5.04989767
-313.34780432,5.04989767
-313.18780432,5.04989767
-313.02780432,5.04989767
-312.86780433,5.04989767
-312.70780433,5.04989767
-312.54780433,5.04989767
-312.38780433,5.04989767
-312.22780433,5.04989767
-312.06780433,5.04989767
-311.90780433,5.04989767
-311.74780433,5.04989767
-311.58780433,5.04989767
-311.42780433,5.04989767
-311.26780434,5.04989767
-311.10780434,5.04989767
-310.94780434,5.04989767
-310.78780434,5.04989767
-310.62780434,5.04989767
-310.46780434,5.04989767
-310.30780434,5.04989767
-310.14780434,5.04989767
-309.98780434,5.04989767
-309.82780434,5.04989767
-309.66780434,5.04989767
-309.50780435,5.04989767
-309.34780435,5.04989767
-309.18780435,5.04989767
-309.02780435,5.04989767
-308.86780435,5.04989767
-308.70780435,5.04989767
-308.54780435,5.04989767
-308.38780435,5.04989767
-308.22780435,5.04989767
-308.06780435,5.04989767
-307.90780436,5.04989767
-307.74780436,5.04989767
-307.58780436,5.04989767
-307.42780436,5.04989767
-307.26780436,5.04989767
-307.10780436,5.04989767
-306.94780436,5.04989767
-306.78780436,5.04989767
-306.62780436,5.04989767
-306.46780436,5.04989767
-306.30780437,5.04989767
-306.14780437,5.04989767
-305.98780437,5.04989767
-305.82780437,5.04989767
-305.66780437,5.04989767
-305.50780437,5.04989767
-305.34780437,5.04989767
-305.18780437,5.04989767
-305.02780437,5.04989767
-304.86780437,5.04989767
-304.70780437,5.04989767
-304.54780438,5.04989767
-304.38780438,5.04989767
-304.22780438,5.04989767
-304.06780438,5.04989767
-303.90780438,5.04989767
-303.74780438,5.04989767
-303.58780438,5.04989767
-303.42780438,5.04989767
-303.26780438,5.04989767
-303.10780438,5.04989767
-302.94780439,5.04989767
-302.78780439,5.04989767
-302.62780439,5.04989767
-302.46780439,5.04989767
-302.30780439,5.04989767
-302.14780439,5.04989767
-301.98780439,5.04989767
-301.82780439,5.04989767
-301.66780439,5.04989767
-301.50780439,5.04989767
-301.34780440,5.04989767
-301.18780440,5.04989767
-301.02780440,5.04989767
-300.86780440,5.04989767
-300.70780440,5.04989767
-300.54780440,5.04989767
-300.38780440,5.04989767
-300.22780440,5.04989767
-300.06780440,5.04989767
-299.90780440,5.04989767
