Apr 28, 2026  12:06:07 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 77.00,   1.26E-008, 
 77.10,   1.02E-008, 
 77.20,   5.98E-009, 
 77.30,   2.97E-009, 
 77.40,   1.59E-009, 
 77.50,   9.60E-010, 
 77.60,   9.90E-010, 
 77.70,   1.57E-009, 
 77.80,   2.62E-009, 
 77.90,   3.56E-009, 
 78.00,   4.05E-009, 
 78.10,   3.51E-009, 
 78.20,   2.34E-009, 
 78.30,   1.37E-009, 
 78.40,   9.14E-010, 
 78.50,   7.69E-010, 
 78.60,   9.91E-010, 
 78.70,   2.43E-009, 
 78.80,   4.83E-009, 
 78.90,   7.17E-009, 
 79.00,   8.79E-009, 
 79.10,   7.82E-009, 
 79.20,   5.06E-009, 
 79.30,   2.44E-009, 
 79.40,   1.28E-009, 
 79.50,   7.25E-010, 
 79.60,   4.76E-010, 
 79.70,   4.93E-010, 
 79.80,   7.14E-010, 
 79.90,   1.02E-009, 
 80.00,   1.36E-009, 
